Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Tandoori Flame,CASUAL DINING,4.0,247.0,"8150 Dixie Road, Brampton","North Indian, Indian",35.0,Brampton
Brar's Sweets & Restaurant,CASUAL DINING,4.3,181.0,"199 Advance Boulevard, Unit 11, Brampton L6T 4N2",Indian,35.0,Brampton
168 Sushi Japan Buffet,CASUAL DINING,4.2,201.0,"168 Kennedy Rd S, Brampton L6W3G6","Japanese, Sushi",80.0,Brampton
Spoonful,CASUAL DINING,3.8,115.0,"499 Main Street South, Brampton L6Y 1N7","Chinese, Japanese, Thai, Canadian",55.0,Brampton
Mandarin Restaurant - Brampton,CASUAL DINING,4.3,151.0,238 Biscayne Crescent L6W 4S1,"Chinese, Asian, Canadian",60.0,Brampton
Sushi House,CASUAL DINING,4.4,153.0,"135 Main Street North, Brampton L6X 1M9","Sushi, Japanese, Asian",30.0,Brampton
Burrito Boyz,QUICK BITES,4.7,165.0,"210 Queen Street E, Brampton L6V 1B7","Mexican, Fast Food",25.0,Brampton
Khazana,CASUAL DINING,3.1,68.0,"9121 Airport Road, Brampton L6S 0B8",Indian,80.0,Brampton
Wok of Fame,CASUAL DINING,3.6,137.0,"7700 Hurontario Street, Brampton","Chinese, Asian",65.0,Brampton
La Cakery,BAKERY,3.3,32.0,"8975 McLaughlin Road, Brampton L6Y 0Z6",Bakery,20.0,Brampton
Kwality Sweets,CASUAL DINING,3.2,101.0,"2150 Steeles Avenue East, Brampton","Indian, Desserts",35.0,Brampton
That Italian Place Cafe & Eatery,CASUAL DINING,3.9,81.0,"Chrysler Drive Centre, 470 Chrysler Drive, Brampton",Pizza,40.0,Brampton
Thai Pepper,CASUAL DINING,4.2,94.0,"2 Fisherman Drive, Brampton L7A2X9","Thai, Asian",43.0,Brampton
Mackay Pizza,QUICK BITES,4.3,124.0,"930 North Park Drive, Brampton L6S 3Y5","Pizza, Fast Food",15.0,Brampton
India's Taste,CASUAL DINING,3.9,86.0,900 Ray Lawson Boulevard L6Y 5H7,Indian,45.0,Brampton
Sonny's,QUICK BITES,4.1,112.0,"21 Kennedy Road North, Brampton L6V 1X5",Fast Food,25.0,Brampton
Flips,CAFÉ,4.1,90.0,"575 Main Street N, Brampton L6X 0G6","Cafe, American",25.0,Brampton
The WORKS,CASUAL DINING,4.0,83.0,"8 Queen Street East, Brampton L6V 1A2",Burger,45.0,Brampton
Aria Bistro & Lounge,FINE DINING,4.0,57.0,"485 Main Street North, Brampton",American,100.0,Brampton
Dosa Paradise,CASUAL DINING,3.7,69.0,"7920 Hurontario Street, Unit. 40, Brampton L6Y 0B8",Indian,40.0,Brampton
Pickle Barrel,CASUAL DINING,3.3,75.0,"25 Peel Centre Drive, Brampton L6T 3R5","Grill, Canadian",60.0,Brampton
Hockey Sushi,CASUAL DINING,3.7,84.0,"7694 Hurontario Street, Brampton L6Y 4M3","Sushi, Japanese, Asian",50.0,Brampton
Nine18 - Turnberry Golf Club,CASUAL DINING,4.2,52.0,"Turnberry Golf Club, 10100 Heart Lake Road, Brampton",Canadian,125.0,Brampton
Heritage Fish & Chips,CASUAL DINING,4.1,62.0,"295 Queen Street East, Brampton L6W 3R1",Fish and Chips,30.0,Brampton
Sul Irmaos Smoke House,CASUAL DINING,3.8,47.0,"73 George St South, Brampton L6Y 1P4","Sandwich, Southern",45.0,Brampton
Tony & Jim's,QUICK BITES,4.3,49.0,"10 Flowertown Avenue, Brampton L6X 2J9","Pizza, Fast Food",25.0,Brampton
Moxie's Grill & Bar,CASUAL DINING,3.6,64.0,"56 Peel Centre Dr, Brampton L6T0E2","Grill, Steak, Canadian, Fusion",65.0,Brampton
Hakka Village Chinese,CASUAL DINING,3.9,32.0,"144 Kennedy Road S, Brampton L6W 3G4",Hakka Chinese,30.0,Brampton
Tokyo Maki Sushi,CASUAL DINING,3.9,73.0,"2 Bartley Bull Parkway, Brampton L6W 3P9","Sushi, Japanese, Asian",45.0,Brampton
BriSkit,QUICK BITES,3.9,40.0,"160 Wilkinson Road, Unit 40 L6T 4Z4",Canadian,20.0,Brampton
Chawla's,CASUAL DINING,3.7,54.0,"7916 Hurontario Street, Brampton",Indian,45.0,Brampton
Jack Astor's,CASUAL DINING,4.0,69.0,"154 West Drive, Brampton L6T 5P1",Bar Food,55.0,Brampton
Toshi,CASUAL DINING,4.3,63.0,"Rona Plaza, Unit 8, 10 Gillingham Drive, Brampton L6X 5A5","Sushi, Japanese, Asian",40.0,Brampton
Pomodoro Italian Kitchen,QUICK BITES,4.0,48.0,"200 County Court Boulevard, Brampton L6W 4K7","Italian, Pizza",30.0,Brampton
Freshly Thai,CASUAL DINING,3.5,49.0,"48 Queen Street West, Brampton L6X 1A1","Thai, Asian",35.0,Brampton
Turtle Jack's,CASUAL DINING,3.9,50.0,"20 Cottrelle Boulevard, Brampton L6S 0E1","Grill, Canadian",55.0,Brampton
Osmow's,CASUAL DINING,3.9,47.0,"470 Chrysler Drive, Brampton L6S 6G3",Mediterranean,30.0,Brampton
Louisiana Seafood & Steakhouse,CASUAL DINING,3.0,47.0,"1 Steeles Avenue East, Brampton L6W 4J4","Seafood, Steak",65.0,Brampton
Baba Dhaba,CASUAL DINING,3.7,45.0,"255 Rutherford Road South, Brampton",Indian,40.0,Brampton
Sunset Grill,CASUAL DINING,4.0,74.0,"Squires Plaza, 10025 Hurontario Street, Unit 13, Brampton","Diner, Breakfast",30.0,Brampton
The Keg Steakhouse + Bar - Brampton,CASUAL DINING,3.9,62.0,70 Gillingham Drive L6X 4X7,Steak,100.0,Brampton
Bakers Jerk House,QUICK BITES,4.0,42.0,"50 Sunnyvale Gate, Unit 14, Brampton",Jamaican,30.0,Brampton
India Curry House,CASUAL DINING,3.7,43.0,"80 Pertosa Drive, Brampton L6X 5E9","Indian, Hakka Chinese",30.0,Brampton
Fanzorelli's,CASUAL DINING,3.8,36.0,"50 Queen Street West, Brampton L6X 4H3",Italian,60.0,Brampton
Sweet Palace,CASUAL DINING,3.7,41.0,"1098 Peter Robertson Boulevard, Brampton L6R 3A5","Indian, Desserts",35.0,Brampton
Caffe Demetre,DESSERT PARLOR,3.7,25.0,"Bramalea City Centre, 50 Peel Centre Drive, Building M, Unit 110-111 L6T 0E2","Desserts, Ice Cream, Cafe",35.0,Brampton
Get Grill,CASUAL DINING,3.9,36.0,7910 Hurontario Street L6Y 0P6,"African, Asian, Fusion",30.0,Brampton
Rajdhani Sweets,CASUAL DINING,3.4,32.0,"2260 Bovaird Drive East, Brampton L6R 3J5",Indian,20.0,Brampton
macaronZ,BAKERY,3.4,17.0,43 Queen Street East L6W 2A7,Desserts,20.0,Brampton
Stacy Lee's Family Restaurant,CASUAL DINING,4.1,43.0,"4 Mc Laughlin Road, Brampton L6Y 5T1",Diner,40.0,Brampton
Five Guys,QUICK BITES,3.6,52.0,"Bramalea City Centre, 48 Peel Centre Drive L6T 5M2","Fast Food, Burger",25.0,Brampton
Indian Sweet Master,QUICK BITES,3.3,30.0,503 Ray Lawson Boulevard L6Y 0N2,"Indian, Hakka Chinese, Desserts",25.0,Brampton
Mackay Pizza & Submarines,QUICK BITES,4.3,44.0,"Rona Plaza, 40 Gillingham Drive, Brampton","Pizza, Fast Food",25.0,Brampton
Hakka Flavours,CASUAL DINING,3.8,37.0,"2880 Queen Street E, Brampton L6S 6H4","Hakka Chinese, Sichuan, Asian",50.0,Brampton
Venezia Pizza,QUICK BITES,3.9,30.0,"230 Sandalwood Parkway East, Brampton L6Z 1R3","Pizza, Fast Food",25.0,Brampton
Anjappar Chettinad,CASUAL DINING,3.4,35.0,"Bartley's Square, 1 Bartley Bull Parkway, Brampton L6W 3T7",South Indian,40.0,Brampton
Tonino Pizzeria & Panini,CASUAL DINING,3.9,29.0,"10088 McLaughlin Road, Brampton L7A 2X6","Pizza, Italian",25.0,Brampton
La Capannina Restaurant,CASUAL DINING,3.9,38.0,21 George Street North L6X 1R3,Italian,80.0,Brampton
Pamier Kabob,CASUAL DINING,3.9,39.0,"200 Country Court Boulevard, Unit C L6W 4K7",Afghan,35.0,Brampton
Lone Star Texas Grill,CASUAL DINING,3.9,37.0,"156 West Drive, Brampton L6T 5P1","Tex-Mex, Bar Food",80.0,Brampton
Ellen's Bar & Grill,BAR,3.5,27.0,"190 Bovaird Drive West, Unit 41 L7A 1A2","Bar Food, American",80.0,Brampton
East Side Mario's,CASUAL DINING,3.3,33.0,"9055 Airport Road, Brampton L6S 0B8","Italian, Canadian, Pizza",40.0,Brampton
Rashmi's Bakery,BAKERY,3.9,27.0,"80 Pertosa Drive, Unit 13 L6X 5E9","Desserts, Bakery",35.0,Brampton
Sanjhi Rasoi,QUICK BITES,3.8,36.0,"2565 Steeles Avenue East, Unit 1, Brampton",Indian,25.0,Brampton
Madras,CASUAL DINING,2.9,28.0,"2280 Bovaird Drive East, Brampton L6R 3J5",South Indian,35.0,Brampton
Gusto Pizzeria,QUICK BITES,3.9,29.0,"135 Main Street North, Brampton L6X 1M9","Pizza, Italian",25.0,Brampton
Golden Palace Restaurant,CASUAL DINING,3.9,34.0,9886 Torbram Road L6S 3L9,"Chinese, Asian",25.0,Brampton
