Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Spencer's at the Waterfront,CASUAL DINING,4.2,150.0,"1340 Lakeshore, Burlington","Canadian, Steak",70.0,Burlington
August 8,CASUAL DINING,4.2,103.0,"834 Brant Street, Burlington","Chinese, Sushi, Dim Sum, Asian",55.0,Burlington
Sotiris,CASUAL DINING,4.2,105.0,"3135 Harvester Road, Burlington","Greek, Mediterranean",45.0,Burlington
Lettuce Love Cafe,CAFÉ,4.3,77.0,399 John Street,"Cafe, Healthy Food",40.0,Burlington
Kelly's Bake Shoppe,BAKERY,3.7,66.0,"401 Brant Street, Burlington L7R2E9","Bakery, Desserts",15.0,Burlington
D Hot Shoppe,QUICK BITES,4.6,68.0,"4155 Fairview Street, Burlington",Caribbean,20.0,Burlington
The Bombay Grill,CASUAL DINING,4.1,76.0,"3480 Fairview Street, Burlington",Indian,40.0,Burlington
Rayhoon Persian Eatery,CASUAL DINING,3.9,56.0,"420 Pearl Street, Burlington L7R2M8","Middle Eastern, Iranian",43.0,Burlington
Montfort Grill House,CASUAL DINING,4.0,99.0,"796 Brant Street, Burlington","Mediterranean, Middle Eastern",45.0,Burlington
Jake's Grill and Oyster House,CASUAL DINING,3.9,75.0,"950 Walkers Line, Burlington","Seafood, Steak",80.0,Burlington
Ben Thanh,CASUAL DINING,4.0,75.0,"Millcroft Shopping Centre, 2080 Appleby Line, Unit E1, Burlington","Vietnamese, Thai, Asian",40.0,Burlington
Pepperwood Bistro,CASUAL DINING,3.3,72.0,"1455 Lakeshore Rd., Burlington L7S2J1",Canadian,80.0,Burlington
Sultan's Wings & Kabob Shop,QUICK BITES,4.5,48.0,"1500 Upper Middle Rd, Burlington","Mediterranean, Afghan",13.0,Burlington
Emma's Back Porch,CASUAL DINING,3.2,58.0,"2084 Old Lakeshore Road, Burlington L7R 1A3","Grill, Canadian",90.0,Burlington
Russell Williams,CASUAL DINING,4.0,58.0,"20 Plains Road East, Burlington L7T2B8","Canadian, Diner",43.0,Burlington
The Raging Olive,CASUAL DINING,3.8,51.0,"3537 Fairview Street, Burlington L7N2R4","Middle Eastern, Mediterranean",80.0,Burlington
Blacktree,FINE DINING,4.4,43.0,"Roseland Plaza, 3029 New Street, Burlington","Italian, French, European",140.0,Burlington
Son of a Peach,QUICK BITES,3.4,37.0,"2049 Pine Street, Unit 62, Burlington",Pizza,80.0,Burlington
Canyon Creek,CASUAL DINING,3.8,57.0,"2429 Fairview Street, Burlington",Steak,90.0,Burlington
Pomelo Asian Cuisine,CASUAL DINING,3.7,52.0,"2405 Fairview Street Unit 3, Burlington","Thai, Vietnamese, Asian",80.0,Burlington
The Martini House,CASUAL DINING,4.1,44.0,"437 Elizabeth Street, Burlington",Mediterranean,60.0,Burlington
Mount Royal Family Restaurant,CASUAL DINING,3.9,45.0,"2029 Mount Forest Drive, Burlington","Greek, Mediterranean",40.0,Burlington
Paradiso,CASUAL DINING,4.0,47.0,"2041 Pine Street, Burlington",Mediterranean,80.0,Burlington
Ichiban Sushi House,CASUAL DINING,3.9,36.0,"3315 Fairview Street, Unit 4, Burlington L7N 3N9",Sushi,40.0,Burlington
Thai Coconut,CASUAL DINING,3.9,42.0,"3455 Fairview Street, Burlington L7N 2R4","Thai, Asian",43.0,Burlington
The Works,CASUAL DINING,4.0,50.0,"443 Brant Street, Burlington L7R 2G3",Burger,45.0,Burlington
Sakai,CASUAL DINING,3.9,40.0,"4155 Fairview Street, Unit 23, Burlington","Sushi, Japanese, Korean, Asian",40.0,Burlington
Easterbrooks,QUICK BITES,3.9,38.0,"694 Spring Gardens Road, Burlington L7T 4H4","Fast Food, Burger",15.0,Burlington
Thistle Fish & Chips,CASUAL DINING,3.9,39.0,"3455 Fairview Street, Burlington",Fish and Chips,20.0,Burlington
West Plains Bistro,CASUAL DINING,3.9,34.0,"133 Plains Road, Burlington","European, French",80.0,Burlington
Bahn Thai,CASUAL DINING,3.8,46.0,"4490 Fairview Street, Burlington","Thai, Asian",35.0,Burlington
Earls Kitchen and Bar,CASUAL DINING,4.0,47.0,"900 Maple Ave A-25, Burlington L7S2J8","Canadian, Fusion",80.0,Burlington
Napoli Pizza,QUICK BITES,4.1,43.0,"5291 Lakeshore Road, Burlington","Pizza, Fast Food",20.0,Burlington
Artisan Pizza,QUICK BITES,3.7,20.0,"2444 New Street, Unit 4, Burlington","Pizza, Fast Food",25.0,Burlington
Tucker's Marketplace,CASUAL DINING,3.2,35.0,"3110 South Service Road, Burlington L7N 3J3",Italian,60.0,Burlington
