Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Sansotei Ramen,CASUAL DINING,4.6,413.0,"179 Dundas Street West, Toronto M5G1Z8",Ramen,40.0,Discovery District
Japango,CASUAL DINING,4.4,345.0,"122 Elizabeth Street, Toronto M5G 1P5","Sushi, Japanese, Asian",120.0,Discovery District
Uncle Tetsu's Japanese Cheesecake,DESSERT PARLOR,4.2,192.0,"598 Bay Street, Toronto M5G 1C3","Desserts, Japanese, Asian",15.0,Discovery District
Fresh,FAST CASUAL,4.2,236.0,"326 Bloor Street West, Toronto","Healthy Food, Juices",40.0,Discovery District
Don Don Izakaya,CASUAL DINING,3.3,180.0,"130 Dundas Street West, Toronto M5G 1C3",Japanese,45.0,Discovery District
Lai Wah Heen - DoubleTree by Hilton Hotel Toronto...,FINE DINING,4.2,137.0,"DoubleTree by Hilton Hotel Toronto Downtown, 108 Chestnut Steet, Toronto M5G 1R3","Dim Sum, Cantonese",100.0,Discovery District
Kenzo Ramen,CASUAL DINING,4.1,193.0,"138 Dundas Street West, Toronto","Ramen, Japanese",30.0,Discovery District
TSUJIRI,BEVERAGE SHOP,3.8,51.0,"147 Dundas Street W, Toronto","Tea, Ice Cream",10.0,Discovery District
Yueh Tung,CASUAL DINING,3.9,106.0,"126 Elizabeth Street, Toronto M5G 1P5",Hakka Chinese,45.0,Discovery District
Kyoto House,CASUAL DINING,3.4,117.0,"143 Dundas Street West, Toronto M5G 1C5",Sushi,45.0,Discovery District
Nando's,CASUAL DINING,3.8,68.0,"Unit 1, 832 Bay Street M5S 1Z6","Portuguese, African",25.0,Discovery District
Epicure City BOM,CASUAL DINING,3.9,62.0,"72 Gerrard Street West, Toronto M5G1Z4",Korean,30.0,Discovery District
Hong Shing,CASUAL DINING,3.9,65.0,"195 Dundas Street West, Toronto M5G 1C7",Cantonese,40.0,Discovery District
Tosto Quickfire Pizza Pasta,CASUAL DINING,3.1,41.0,"800 Bay St, Toronto M5S 3A9",Italian,40.0,Discovery District
Mercatto,CASUAL DINING,3.8,75.0,"101 College Street, Toronto M5G1L7",Italian,65.0,Discovery District
Gyugyuya,CASUAL DINING,3.6,49.0,"177 Dundas Street West, Toronto M5G 1C7",Japanese,30.0,Discovery District
Bombay Street Food,QUICK BITES,3.2,32.0,"828 Bay Street, Toronto M5S 1Z6",Indian,,Discovery District
Piano Piano Restaurant,CASUAL DINING,3.5,23.0,"88 Harbord Street, Toronto M5S 1G5",Italian,,Discovery District
Torch Sushi & Bento,CASUAL DINING,3.8,46.0,"187 Dundas Street West, Toronto M5G 1C7","Sushi, Japanese, Asian",45.0,Discovery District
Bapbo,CASUAL DINING,3.5,31.0,"142 Dundas Street West, Toronto M6G1C3","Korean, Japanese",45.0,Discovery District
Pig Out BBQ,QUICK BITES,3.7,23.0,"650 Spadina Avenue, Toronto",BBQ,30.0,Discovery District
Evergreen,CASUAL DINING,3.8,44.0,"175 Dundas Street West, Toronto M5G 1C7","Thai, Sushi",40.0,Discovery District
Eggsmart,CASUAL DINING,3.7,44.0,"645 Bay Street, Toronto",Diner,30.0,Discovery District
Fügo Desserts,DESSERT PARLOR,3.4,20.0,"205 Dundas Street W, Toronto M5G1C8",Desserts,20.0,Discovery District
Wah Too Seafood Restaurant,CASUAL DINING,3.7,34.0,"58 Centre Avenue, Toronto M5G 1R5","Chinese, Asian",30.0,Discovery District
Daddyo's,CASUAL DINING,3.8,44.0,"673 Spadina Avenue, Toronto M5S 2H9",Italian,35.0,Discovery District
The Tea Room - The Windsor Arms,CAFÉ,2.8,25.0,"Windsor Arms, 18 St. Thomas Street, Toronto M5S 3E7",Tea,100.0,Discovery District
Prenup Pub,CASUAL DINING,3.3,29.0,"191 College Street, Toronto M5T 1P9","Bar Food, European, Canadian",60.0,Discovery District
Cora Pizza,QUICK BITES,3.9,57.0,"656 Spadina Avenue, Toronto M5S 2H7","Pizza, Fast Food",35.0,Discovery District
