Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Salad King,CASUAL DINING,4.2,1260.0,"340 Yonge Street, Toronto M5B 1R8","Thai, Asian",30.0,Downtown Yonge
Chipotle,FAST CASUAL,4.3,495.0,"323 Yonge Street, Toronto M5B 1R7",Tex-Mex,30.0,Downtown Yonge
Barberian's Steakhouse And Tavern,FINE DINING,4.4,276.0,"7 Elm Street, Toronto M5G 1H1",Steak,160.0,Downtown Yonge
7 West Cafe,CAFÉ,4.3,299.0,"7 Charles Street West, Toronto M4Y 1R4","Cafe, Italian",45.0,Downtown Yonge
The 3 Brewers,CASUAL DINING,4.1,313.0,"275 Yonge Street, Toronto M5B 1N8","American, Bar Food",65.0,Downtown Yonge
JOEY Eaton Centre,CASUAL DINING,4.5,264.0,"1 Dundas Street W, Toronto M5G 1Z3","Steak, Grill, Fusion",70.0,Downtown Yonge
The Queen And Beaver Public House,CASUAL DINING,4.3,227.0,"35 Elm Street, Toronto","British, Bar Food",70.0,Downtown Yonge
Banh Mi Boys,QUICK BITES,4.6,202.0,"399 Yonge Street, Toronto",Sandwich,25.0,Downtown Yonge
Paramount Fine Foods,CASUAL DINING,4.0,224.0,"253 Yonge Street, Toronto M5B 1N8","Lebanese, Middle Eastern",40.0,Downtown Yonge
Scaddabush,CASUAL DINING,4.4,162.0,"382 Yonge Street, Toronto M5B 1S8",Italian,60.0,Downtown Yonge
Crown Princess Fine Dining,CASUAL DINING,4.1,137.0,"1033 Bay Street, Toronto","Dim Sum, Cantonese, Chinese, Asian",80.0,Downtown Yonge
Okonomi House,CASUAL DINING,4.4,133.0,"23 Charles Street West, Toronto","Japanese, Asian",30.0,Downtown Yonge
Ethiopian House,CASUAL DINING,4.3,181.0,"4 Irwin Avenue, Toronto M4Y 1K9","Ethiopian, African",35.0,Downtown Yonge
Jack Astor's,CASUAL DINING,3.7,181.0,"10 Dundas East, L4, Toronto M5B 2G9",Bar Food,55.0,Downtown Yonge
Pickle Barrel,CASUAL DINING,2.8,168.0,"312 Yonge Street, Toronto M5B 1R4","Grill, Canadian",60.0,Downtown Yonge
Wow Sushi,CASUAL DINING,4.1,101.0,"11 Charles Street West, Toronto M4Y 1R4","Sushi, Japanese, Asian",40.0,Downtown Yonge
Elm Tree Restaurant,CASUAL DINING,4.2,59.0,"43 Elm Street, Toronto","Mediterranean, French, European",60.0,Downtown Yonge
Trattoria Mercatto,CASUAL DINING,3.7,120.0,"Eaton Centre, Level Three, 220 Yonge Street, Toronto",Italian,70.0,Downtown Yonge
Spring Rolls,CASUAL DINING,3.4,148.0,"40 Dundas Street West, Toronto M5G 2C2",Asian Fusion,50.0,Downtown Yonge
Bangkok Garden,CASUAL DINING,3.5,111.0,"18 Elm Street, Toronto M5G 1G7","Thai, Asian",50.0,Downtown Yonge
Buffet Palace,CASUAL DINING,3.3,83.0,"361 Yonge Street, Toronto M5B 1S1",Indian,40.0,Downtown Yonge
Sansotei Ramen,CASUAL DINING,3.9,71.0,"650 Yonge Street, Toronto M4Y 2A6",Ramen,40.0,Downtown Yonge
Red Lobster,CASUAL DINING,3.8,133.0,20 Dundas Street West M5G 2C2,Seafood,60.0,Downtown Yonge
Koyoi,BAR,4.1,60.0,"2 Irwin Avenue, Toronto M4Y 1K9","Japanese, Asian",70.0,Downtown Yonge
Fran's,CASUAL DINING,3.7,236.0,"20 College Street, Toronto","Grill, Diner, Burger, American",40.0,Downtown Yonge
Adega,CASUAL DINING,4.4,96.0,"33 Elm Street, Toronto M5G 1H1","Portuguese, Seafood",100.0,Downtown Yonge
Eggspectation Restaurant-Café,CASUAL DINING,3.8,54.0,"Bell Trinity Square, South Tower, 20 Albert Street, Toronto M5G 2C9","Diner, American, Canadian",40.0,Downtown Yonge
Brownstone Bistro,CASUAL DINING,3.8,118.0,"601 Yonge Street, Toronto M4Y 1Z5",Italian,75.0,Downtown Yonge
Chatime,BEVERAGE SHOP,4.4,130.0,"132 Dundas Street West, Toronto","Bubble Tea, Beverages, Taiwanese",15.0,Downtown Yonge
TLP Sandwich Co.,QUICK BITES,4.0,43.0,"15 Elm Street, Toronto M5G 1H1","Fast Food, Steak, Burger, Sandwich",20.0,Downtown Yonge
Donatello,CASUAL DINING,4.1,79.0,"37 Elm Street, Toronto M5G 1H1",Italian,80.0,Downtown Yonge
Wanda's Belgian Waffles,CAFÉ,3.2,88.0,"361 Yonge Street, Toronto","Cafe, Belgian, Desserts",30.0,Downtown Yonge
Duke's Refresher + Bar,BAR,3.8,63.0,"382 Yonge Street, Toronto M5B 1S8",Bar Food,60.0,Downtown Yonge
Como En Casa,QUICK BITES,4.0,65.0,"565 Yonge Street, Toronto M4Y 1Z2",Mexican,30.0,Downtown Yonge
Asian Bowl,CASUAL DINING,3.6,80.0,"271 Yonge Street, Toronto M5B 1N8","Vietnamese, Thai, Chinese, Asian",35.0,Downtown Yonge
Urban Herbivore,QUICK BITES,3.7,59.0,"Eaton Centre, Urban Eatery, 220 Yonge Street, Toronto M5B 2H1",Healthy Food,30.0,Downtown Yonge
Cora's Breakfast & Lunch,CASUAL DINING,3.8,75.0,"27 Carlton Street, Toronto","Diner, Canadian",35.0,Downtown Yonge
Ginger,QUICK BITES,3.9,87.0,"695 Yonge Street, Toronto",Vietnamese,25.0,Downtown Yonge
Kimchi Korea House,CASUAL DINING,3.8,60.0,"149 Dundas Street West, Toronto M5G 1C6",Korean,45.0,Downtown Yonge
Tokyo Grill,CASUAL DINING,4.0,75.0,"582 Yonge Street, Toronto M4Y 1Z3",Japanese,40.0,Downtown Yonge
Jackson's Burger,QUICK BITES,3.8,57.0,"38 Elm St, Toronto, ON M5G 2K5","Burger, Fast Food",25.0,Downtown Yonge
Coach House,CASUAL DINING,4.1,63.0,"574 Yonge Street, Toronto",Diner,30.0,Downtown Yonge
The Captain’s Boil,CASUAL DINING,3.2,32.0,476 Yonge Street,"Cajun, Seafood",60.0,Downtown Yonge
Tokyo Sushi,CASUAL DINING,4.0,60.0,"33 Saint Joseph Street, Toronto","Sushi, Japanese, Asian",70.0,Downtown Yonge
Not Just Noodles,CASUAL DINING,3.7,84.0,"570 Yonge Street, Toronto","Chinese, Thai, Vietnamese, Asian",35.0,Downtown Yonge
Burrito Bandidos,QUICK BITES,4.0,72.0,"496 Yonge Street, Toronto M4Y 1A8","Fast Food, Mexican",25.0,Downtown Yonge
Pogue Mahone,CASUAL DINING,3.6,65.0,"College Park, 777 Bay Street, Toronto M5G 2C8","Irish, Bar Food",60.0,Downtown Yonge
Big Smoke Burger,QUICK BITES,4.0,51.0,"Eaton Centre, Urban Eatery, 220 Yonge Street, Toronto M5B 2L7","Burger, Fast Food",25.0,Downtown Yonge
Hot Star Large Fried Chicken,QUICK BITES,2.9,27.0,"374A Yonge Street Toronto,",Taiwanese,40.0,Downtown Yonge
Aji Sai Plus,CASUAL DINING,2.9,55.0,"637 Yonge Street, Toronto M4Y 1Z5","Sushi, Japanese, Asian",40.0,Downtown Yonge
Darvish,CASUAL DINING,3.9,47.0,"508 Yonge Street, Toronto M4Y 1X9",Iranian,65.0,Downtown Yonge
Ritz Caribbean Foods,QUICK BITES,3.9,53.0,"450 Yonge Street, Toronto M4Y 1W9","Caribbean, Jamaican",30.0,Downtown Yonge
Shark Club - Sports Bar & Grill,CASUAL DINING,3.0,58.0,"10 Dundas East, L3, Toronto M5B 2G9","Bar Food, Grill",75.0,Downtown Yonge
Oro Restaurant,CASUAL DINING,3.7,57.0,"45 Elm Street, Toronto M5G 1H1",Italian,80.0,Downtown Yonge
Sushi Sky,CASUAL DINING,3.4,77.0,"478 Yonge Street, Toronto M4Y 1X5","Sushi, Japanese, Asian",30.0,Downtown Yonge
Basil Box,QUICK BITES,3.6,35.0,"Ryerson Student Learning Centre, 351 Yonge Street, Toronto M5B 1S1","Vietnamese, Asian",,Downtown Yonge
Firkin On Yonge,CASUAL DINING,3.0,39.0,"207 Yonge Street, Toronto M5B 1M4",Bar Food,65.0,Downtown Yonge
Patties Express,QUICK BITES,3.5,36.0,"4 Elm Street, Toronto M5G 1G7",Jamaican,15.0,Downtown Yonge
Duke Of Richmond,CASUAL DINING,3.7,44.0,"20 Queen Street West, Toronto M5H 3R3","British, Bar Food",65.0,Downtown Yonge
Avocado Sushi,CASUAL DINING,3.6,34.0,"1105 Bay Street, Toronto M5S 2B3","Sushi, Japanese, Asian",35.0,Downtown Yonge
Daio,CASUAL DINING,3.9,40.0,"45 Carlton Street, Unit 5, Toronto M5B 2H9","Sushi, Japanese, Asian",55.0,Downtown Yonge
Colaba Junction,CASUAL DINING,2.9,26.0,"801 Bay Street, Toronto M5S 1Y9",Indian,25.0,Downtown Yonge
deKEFIR,DESSERT PARLOR,3.9,27.0,"Bay Adelaide Centre, 333 Bay Street, THE PATH, Toronto M5H 2R2","Frozen Yogurt, Desserts",20.0,Downtown Yonge
Miss Korea,BAR,3.5,28.0,"687 Yonge Street, Toronto M4Y 2B2",Korean,60.0,Downtown Yonge
Roti Roll,QUICK BITES,3.8,21.0,"361 Yonge Street, Toronto M5B 1S1",Caribbean,25.0,Downtown Yonge
Bar Burrito,QUICK BITES,3.5,41.0,"544 Yonge Street, Toronto",Tex-Mex,25.0,Downtown Yonge
St. Louis Bar and Grill,CASUAL DINING,3.4,47.0,"595 Bay Street, #A09, Toronto M5G 2C2","Bar Food, Grill",40.0,Downtown Yonge
Amaya Express,QUICK BITES,2.9,36.0,"Eaton Centre, Urban Eatery, 220 Yonge Street, Toronto M5B 2L7",Indian,40.0,Downtown Yonge
W Burger Bar,CASUAL DINING,2.9,27.0,"10 College Street, Toronto M5G 1K2",Burger,30.0,Downtown Yonge
Golden Griddle,CASUAL DINING,2.7,47.0,"45 Carlton Street, Toronto M5B2H9",Canadian,40.0,Downtown Yonge
Popeyes,FAST CASUAL,2.9,43.0,"273 Yonge Street, Toronto M5B 1N8",Fast Food,25.0,Downtown Yonge
Sushi Club,CASUAL DINING,2.8,41.0,"41 Charles Street West, Toronto M4Y 2R4","Sushi, Japanese, Asian",40.0,Downtown Yonge
California Sandwiches,QUICK BITES,3.1,27.0,"435 Yonge Street, Toronto",Sandwich,20.0,Downtown Yonge
Slab Burgers,QUICK BITES,3.9,32.0,"47 Charles Street W, Toronto M4Y 2R4","Fast Food, Burger",30.0,Downtown Yonge
Sushi Box,CASUAL DINING,3.9,23.0,"891 Bay Street, Toronto M5S 3K5","Sushi, Japanese, Asian",35.0,Downtown Yonge
Sweet Lulu,CASUAL DINING,3.7,27.0,"350 Bay Street, Toronto M5H2S6","Thai, Chinese, Asian",25.0,Downtown Yonge
Thai On Yonge,CASUAL DINING,3.3,15.0,"370 Yonge Street, Second Floor, Toronto M5B",Thai,35.0,Downtown Yonge
The Wickson Social,CASUAL DINING,3.6,8.0,"5 St Joseph Street, Toronto M4Y 1Z3","Bar Food, Canadian",60.0,Downtown Yonge
Infuse Cafe,CAFÉ,3.5,19.0,"354 Yonge Street, Toronto M5B 1S5",Cafe,10.0,Downtown Yonge
Denny's,CASUAL DINING,2.7,25.0,121 Dundas Street West,"Diner, Breakfast",30.0,Downtown Yonge
