Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Pai,CASUAL DINING,4.9,615.0,"18 Duncan Street, Toronto","Thai, Asian",50.0,Entertainment District
Momofuku Noodle Bar,CASUAL DINING,3.3,542.0,190 University Avenue M5H 0A3,"Japanese, Asian",60.0,Entertainment District
JaBistro,CASUAL DINING,4.6,285.0,"222 Richmond Street West, Toronto M5V1W4 1W4",Sushi,100.0,Entertainment District
Burrito Boyz,QUICK BITES,4.5,639.0,"224 Adelaide Street West, Toronto M5H 1W7","Mexican, Fast Food",25.0,Entertainment District
Byblos,CASUAL DINING,4.7,168.0,11 Duncan Street M5V 3M2,Mediterranean,90.0,Entertainment District
360 Restaurant,FINE DINING,4.1,345.0,"CN Tower, 301 Front Street West, Toronto M5V 2T6","Canadian, Grill",180.0,Entertainment District
Sweet Jesus,DESSERT PARLOR,3.8,130.0,"106 John Street, Toronto M5H 1X9","Ice Cream, Coffee and Tea",15.0,Entertainment District
Yuzu No Hana,CASUAL DINING,4.5,226.0,"236 Adelaide Street West, Toronto M5H 1W7","Sushi, Japanese, Asian",100.0,Entertainment District
Little India,CASUAL DINING,4.2,279.0,"255 Queen Street West, Toronto M5V1Z4",Indian,40.0,Entertainment District
Queen Mother Cafe,CASUAL DINING,4.3,327.0,"208 Queen Street West, Toronto M5V 1Z2",Asian Fusion,50.0,Entertainment District
Ravi Soups,QUICK BITES,4.9,238.0,"322 Adelaide Street West, Toronto M5V 1R1","Sri Lankan, Healthy Food",35.0,Entertainment District
RS - Real Sports,CASUAL DINING,3.9,279.0,"Maple Leaf Square, 15 York Street, Toronto, ON M5J 2Z2","Bar Food, Grill",80.0,Entertainment District
Thoroughbred,BAR,4.3,112.0,"304 Richmond Street West, Toronto M5V 1X2","Fusion, Canadian, Bar Food",80.0,Entertainment District
Luckee by Susur Lee,CASUAL DINING,4.1,112.0,"SoHo Metropolitan Hotel, 328 Wellington Street West, Toronto M5V 3T4","Dim Sum, Chinese, Asian",100.0,Entertainment District
O&B Canteen,CASUAL DINING,3.9,246.0,"330 King Street West, Toronto, ON M5V 3X2 3X2",Canadian,60.0,Entertainment District
Queen Street Warehouse,CASUAL DINING,3.6,112.0,"232 Queen Street West, Toronto M5V 1Z6","American, Bar Food",30.0,Entertainment District
Korean Grill House,CASUAL DINING,4.2,198.0,"214 Queen Street West, Toronto","BBQ, Korean",45.0,Entertainment District
Bosk - Shangri-La Hotel,FINE DINING,4.0,75.0,"Shangri-La Hotel, 188 University Avenue, Toronto M5H 0A3","Asian, Canadian",120.0,Entertainment District
Alo Restaurant,FINE DINING,4.1,47.0,"163 Spadina Avenue, 3rd Floor, Toronto M5V 2L6",French,100.0,Entertainment District
Fusaro's Italian Kitchen,CASUAL DINING,4.3,116.0,"147 Spadina Avenue, Toronto M5V 2L7",Italian,50.0,Entertainment District
Smoke's Poutinerie,QUICK BITES,3.8,257.0,"218 Adelaide Street West, Toronto M5H 1W7",Canadian,25.0,Entertainment District
Fresh on Spadina,FAST CASUAL,4.0,211.0,"147 Spadina Ave, Toronto M5V 2L7","Healthy Food, Juices",40.0,Entertainment District
Kit Kat Italian Bar & Grill,CASUAL DINING,4.1,206.0,"297 King Street West, Toronto M5V 1J5","Italian, Grill, Bar Food",60.0,Entertainment District
Luma,FINE DINING,4.1,174.0,"2nd Floor, 350 King Street West, Reitman Square, Toronto M5V 3X5","Canadian, Fusion, Seafood, Bar Food",,Entertainment District
Bar Hop,CASUAL DINING,4.2,137.0,"391 King Street West, Toronto M5V 1K1","Bar Food, Canadian",70.0,Entertainment District
Milagro,CASUAL DINING,3.9,178.0,"5 Mercer Street, Toronto M5V 1H2",Mexican,60.0,Entertainment District
Blowfish,CASUAL DINING,4.1,176.0,"668 King Street West, Toronto, ON M5V 1M7","Sushi, Japanese, Brazilian",100.0,Entertainment District
Pizzeria Libretto,CASUAL DINING,4.0,96.0,"155 University Avenue, Toronto","Pizza, Italian",50.0,Entertainment District
Copacabana Grilled Brazilian,CASUAL DINING,4.0,124.0,"Upper Floor, 230 Adelaide Street West, Toronto M5H 3H1","Steak, Grill, Brazilian",100.0,Entertainment District
Momofuku Daishō,CASUAL DINING,3.2,131.0,"Momofuku, Third Floor, 190 University Avenue, Toronto",Asian Fusion,80.0,Entertainment District
Town Crier Pub,BAR,4.4,148.0,"115 John Street, Toronto M5V 2E2","Bar Food, German, Belgian",65.0,Entertainment District
Touhenboku Ramen,CASUAL DINING,3.4,131.0,"261 Queen Street West, Toronto M5V 1Z4","Ramen, Japanese",40.0,Entertainment District
Momofuku Milk Bar,DESSERT PARLOR,3.5,97.0,"Momofuku, Second Floor, 190 University Avenue, Toronto M5H 0A3",Desserts,35.0,Entertainment District
The Loose Moose,BAR,3.9,161.0,"146 Front Street West, Toronto M5J 1G2","Bar Food, Mexican",80.0,Entertainment District
Wayne Gretzky's,CASUAL DINING,2.9,193.0,"99 Blue Jays Way, Toronto M5V 9G9","Canadian, Grill, Bar Food",70.0,Entertainment District
Aroma - Fine Indian Cuisine,CASUAL DINING,3.8,146.0,"287 King Street West, Toronto M5V 1J5",Indian,45.0,Entertainment District
Fred's Not Here,CASUAL DINING,3.7,155.0,"321 King Street West, Toronto M5V 1J5","Steak, Grill, Seafood",100.0,Entertainment District
309 Dhaba Indian Excellence,CASUAL DINING,3.9,126.0,"309 King Street W, Toronto M5V 1J5",Indian,40.0,Entertainment District
Montecito,FINE DINING,3.8,98.0,"299 Adelaide Street West, Toronto M5V 1P7 1R2","Fusion, Italian",120.0,Entertainment District
Buonanotte,CASUAL DINING,3.6,80.0,"19 Mercer Street, Toronto",Italian,100.0,Entertainment District
Fune,CASUAL DINING,4.3,110.0,"100 Simcoe Street, Toronto M5H 3L2","Sushi, Japanese, Asian",70.0,Entertainment District
La Carnita,CASUAL DINING,3.5,39.0,"106 John Street, Toronto M5H 1X9",Mexican,35.0,Entertainment District
Michael's On Simcoe,FINE DINING,3.8,82.0,"100 Simcoe Street, Toronto M5H 3G2","Steak, Seafood, Italian",100.0,Entertainment District
Wahlburgers,CASUAL DINING,3.2,174.0,"46 Blue Jays Way, Toronto M5V 2G3",Burger,35.0,Entertainment District
TOCA,FINE DINING,4.2,73.0,181 Wellington Street West M5V 3G7,Italian,140.0,Entertainment District
Corned Beef House,CASUAL DINING,4.3,99.0,"270 Adelaide Street West, Toronto M5H 1X6",Deli,35.0,Entertainment District
Azure - InterContinental Toronto Centre Hotel,CASUAL DINING,3.1,68.0,"InterContinental Toronto Centre Hotel, 225 Front Street West, Toronto M5V 2X3",Canadian,100.0,Entertainment District
Jack Astor's,CASUAL DINING,3.7,128.0,"144 Front Street West, Toronto M5J 1G2",Bar Food,55.0,Entertainment District
Momofuku Shōtō,FINE DINING,3.3,69.0,"Momofuku, Third Floor, 190 University Avenue, Toronto M5H 0A3","Japanese, Asian",180.0,Entertainment District
Tutti Matti,CASUAL DINING,3.8,100.0,"364 Adelaide Street West, Toronto",Italian,100.0,Entertainment District
SOCO Kitchen + Bar,CASUAL DINING,3.6,46.0,"Delta Toronto, 75 Lower Simcoe Street, Toronto M5J 3A6","European, American",85.0,Entertainment District
259 Host,CASUAL DINING,4.1,85.0,"259 Wellington Street W, Toronto M5V 3E4",Indian,50.0,Entertainment District
Kanga,QUICK BITES,3.9,70.0,"65 Duncan Street, Toronto M5V 2C5",Australian,25.0,Entertainment District
The Red Tomato,BAR,3.2,53.0,"321 King Street West, Toronto",Italian,50.0,Entertainment District
Elephant & Castle,CASUAL DINING,3.4,98.0,"212 King Street West, Toronto M5H 1K5","Bar Food, British",85.0,Entertainment District
The Badali Bar and Cucina,CASUAL DINING,3.7,102.0,"156 Front Street West, Toronto M5J 2L6",Italian,65.0,Entertainment District
The Shore Club - Toronto,CASUAL DINING,3.9,70.0,155 Wellington Street West M5V 3H1,"Seafood, Steak",100.0,Entertainment District
Mi Ne Sushi,CASUAL DINING,3.9,91.0,"325 Bremner Boulevard, Toronto","Sushi, Japanese, Asian",85.0,Entertainment District
Cora's Breakfast & Lunch,CASUAL DINING,3.9,112.0,"277 Wellington Street West, Toronto","Diner, Canadian",35.0,Entertainment District
The Beverley - The Beverley Hotel,CASUAL DINING,3.8,42.0,"The Beverley Hotel, 335 Queen Street West, Toronto M5V 2A1","Canadian, Fusion",100.0,Entertainment District
Millie Patisserie & Creamery,DESSERT PARLOR,3.4,19.0,"36 Charlotte Street, Unit 101, Toronto M5V 3P7","Desserts, Japanese",15.0,Entertainment District
N'Awlins,CASUAL DINING,3.8,70.0,"299 King Street West, Toronto M5V 1J5","Cajun, Italian",60.0,Entertainment District
