Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Sushi Kaji,CASUAL DINING,4.6,184.0,"860 The Queensway, Etobicoke M8Z 1N7",Sushi,160.0,Etobicoke
Spoon & Fork,CASUAL DINING,4.1,380.0,"1233 The Queensway, Etobicoke","Japanese, Thai, Asian",70.0,Etobicoke
Woody's Burgers,CASUAL DINING,4.6,214.0,"3795 Lake Shore Boulevard West, Etobicoke","Burger, Grill",40.0,Etobicoke
Sanremo Bakery,BAKERY,4.8,147.0,"374 Royal York Road, Etobicoke M8Y 2R3","Bakery, Coffee and Tea, Deli",30.0,Etobicoke
The Good Fork,CASUAL DINING,4.4,178.0,"1550, Dundas Street, West Toronto, ON M6K 1T5, Etobicoke, Toronto M6S 1P9",American,45.0,Etobicoke
Apache Burger,QUICK BITES,3.2,238.0,"5236 Dundas Street West, Etobicoke M9B","Burger, Fast Food",30.0,Etobicoke
Everest Hakka House,CASUAL DINING,4.1,188.0,"2356 Lake Shore Boulevard West, Etobicoke M8V 1B6",Hakka Chinese,45.0,Etobicoke
Mamma Martino's,CASUAL DINING,3.8,220.0,"624 The Queensway, Etobicoke M8Y 1K3",Italian,40.0,Etobicoke
Momiji,CASUAL DINING,4.3,167.0,"2955 Bloor Street West, Etobicoke M8X 1B8",Japanese,60.0,Etobicoke
Mekong River,CASUAL DINING,4.3,119.0,"5468 Dundas Street West, Etobicoke M9B1B1","Vietnamese, Thai, Chinese",35.0,Etobicoke
La Vinia,CASUAL DINING,4.5,87.0,"2350 Lake Shore Boulevard West, Etobicoke M8V 1B8","Spanish, Tapas",80.0,Etobicoke
Eden Trattoria,CASUAL DINING,4.0,152.0,"58 Marine Parade Drive, Etobicoke M8V 4G1",Italian,65.0,Etobicoke
Spin Dessert Cafe,CAFÉ,3.8,139.0,"1060 The Queensway, Etobicoke","Desserts, Breakfast, Cafe",40.0,Etobicoke
Kumo Sushi,CASUAL DINING,4.3,107.0,"562 Kipling Avenue, Etobicoke M8Z 5E8","Sushi, Japanese",45.0,Etobicoke
Ka Chi Korean Restaurant,CASUAL DINING,4.3,124.0,8 Saint Andrews Street M5T 2G4,Korean,45.0,Etobicoke
Royal Meats Barbeque,CASUAL DINING,4.1,127.0,"710 Kipling Avenue, Etobicoke M8Z 5G5","Grill, BBQ",50.0,Etobicoke
The Pie Commission,BAKERY,4.2,77.0,"935 The Queensway, Etobicoke M8Z 1P3","Bakery, Desserts",30.0,Etobicoke
Mayflower Chinese Food,CASUAL DINING,4.4,81.0,"1500 Royal York Road, Toronto M9P 3B6",Chinese,25.0,Etobicoke
Chop Steakhouse & Bar,CASUAL DINING,3.9,85.0,"801 Dixon Road, Etobicoke M9W 1J5","Steak, Seafood",80.0,Etobicoke
Yellow Cup Cafe,CAFÉ,3.8,107.0,"225 The East Mall, Unit 1, Etobicoke M9B 6J1","Cafe, Breakfast",25.0,Etobicoke
Fat Bastard Burrito,QUICK BITES,4.3,123.0,"1180 The Queensway, Etobicoke","Mexican, Fast Food",25.0,Etobicoke
The Grille,CASUAL DINING,3.7,127.0,"1596 The Queensway, Etobicoke M8Z1V1","American, Grill",45.0,Etobicoke
Kebab 49,CASUAL DINING,4.3,84.0,"5308 Dundas Street West, Etobicoke",Turkish,30.0,Etobicoke
