Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Richmond Station,CASUAL DINING,4.8,490.0,"1 Richmond Street West, Suite 120, Toronto M5H 3W4","Italian, Canadian",80.0,Financial District
Canoe,FINE DINING,4.4,675.0,"66 Wellington St. W, TD Bank Tower, 54th Floor, Toronto M5K 1H6 1H6","Canadian, Bar Food",150.0,Financial District
Bymark,FINE DINING,4.7,290.0,"Toronto Dominion Centre, 66 Wellington Street West, Toronto M5K 1M6",Canadian,120.0,Financial District
The Gabardine,CASUAL DINING,4.1,190.0,"372 Bay Street, Toronto M5H 2W9","Canadian, Breakfast",75.0,Financial District
Earls,CASUAL DINING,4.0,220.0,"150 King Street West, Toronto M5H 1J9",Grill,100.0,Financial District
The Chase,FINE DINING,4.1,149.0,"10 Temperance Street, 5th Floor, Toronto","Seafood, Canadian",120.0,Financial District
ki modern japanese + bar,CASUAL DINING,4.1,223.0,181 Bay Street M5J 2T3,"Japanese, Asian",80.0,Financial District
Jump,CASUAL DINING,4.1,206.0,"18 Wellington Street West, Toronto, ON M5L 1G4","Grill, American, Italian, Bar Food, Canadian",,Financial District
Cactus Club Cafe,CASUAL DINING,4.0,83.0,"77 Adelaide St W, Toronto M5X 1C1",Grill,50.0,Financial District
Drake One Fifty,CASUAL DINING,4.0,123.0,"150 York Street, Toronto M5H 3S5","Canadian, American, Grill",120.0,Financial District
Reds Wine Tavern,CASUAL DINING,3.9,144.0,"First Canadian Place, 77 Adelaide Street West, Toronto","Grill, European",70.0,Financial District
VOLOS,CASUAL DINING,4.1,110.0,133 Richmond Street West M5H 2L3,"Greek, Seafood, Mediterranean",100.0,Financial District
Ruth's Chris Steak House,CASUAL DINING,3.8,169.0,145 Richmond Street Hilton Toronto M5H 2L2,"Steak, American",150.0,Financial District
Bannock,CASUAL DINING,3.9,82.0,"401 Bay St., Toronto, ON M5H 2Y4",Canadian,60.0,Financial District
East Thirty-Six,CASUAL DINING,3.8,63.0,"36 Wellington Street East, Toronto M5E 1C9","Canadian, European",80.0,Financial District
Hy's Steakhouse,FINE DINING,4.0,108.0,"Richmond Adelaide Centre, 120 Adelaide Street West, Toronto M5H 1T1",Steak,120.0,Financial District
Mercatto,CASUAL DINING,4.1,116.0,"330 Bay Street, Toronto",Italian,70.0,Financial District
