Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Manpuku,CASUAL DINING,4.5,196.0,"Village by the Grange, 105 McCaul Street, Unit 29-31, Toronto M5T 2X4",Japanese,30.0,Grange Park
Swatow Restaurant,CASUAL DINING,4.4,178.0,"309 Spadina Avenue, Toronto M5T1H1",Cantonese,25.0,Grange Park
Little Nicky's Coffee,CAFÉ,4.3,115.0,"375 Queen Street West, Toronto M5V 2A5",Cafe,20.0,Grange Park
Ema-Tei,CASUAL DINING,4.1,158.0,"30 St. Patrick Street, Toronto M5T 1T4",Sushi,60.0,Grange Park
House of Gourmet,CASUAL DINING,3.9,121.0,"484 Dundas Street West, Toronto M5T1G9",Cantonese,40.0,Grange Park
Karine's Fresh,Other,4.2,85.0,"Village by the Grange, 109 McCaul Street, Toronto M5T 3K5","Healthy Food, Vegetarian",20.0,Grange Park
Me Va Me,CASUAL DINING,3.8,68.0,"240 Queen Street West, Toronto M5V 1Z7",Mediterranean,35.0,Grange Park
AGO Bistro @ The Art Gallery of Ontario,CASUAL DINING,4.2,105.0,317 Dundas Street West M5T 1G4,"Fusion, Canadian",100.0,Grange Park
Sin & Redemption,CASUAL DINING,3.7,99.0,"136 McCaul Street, Toronto M5T 1W2","Belgian, Bar Food",60.0,Grange Park
Midi Bistro,CASUAL DINING,4.0,63.0,"168 McCaul Street, Toronto M5T1W4",French,70.0,Grange Park
New Sky Restaurant,CASUAL DINING,4.1,74.0,"353 Spadina Avenue, Toronto M5T 2G3","Cantonese, Chinese",35.0,Grange Park
Rivoli,CASUAL DINING,3.9,85.0,"332 Queen Street West, Toronto M5V 2A2","Asian Fusion, Canadian",50.0,Grange Park
Peter Pan Bistro,CASUAL DINING,3.8,38.0,"373 Queen Street West, Toronto M5V 2A4","European, French, British",80.0,Grange Park
Village Idiot Pub,BAR,3.9,80.0,"126 McCaul Street, Toronto M5T 1W2","Bar Food, British",60.0,Grange Park
Mean Bao.,Other,3.3,51.0,"Village by the Grange, 275 Dundas Street West, Toronto M5T 3K1","Chinese, Fast Food",30.0,Grange Park
Seor Ak San,CASUAL DINING,3.9,54.0,"357 Spadina Avenue, Toronto M5T 2G3",Korean,30.0,Grange Park
Black Bull Tavern,BAR,3.5,71.0,"298 Queen Street West, Toronto M5V 2A1",Bar Food,45.0,Grange Park
Krispy Kreme,DESSERT PARLOR,3.7,46.0,"164 McCaul Street, Toronto M5T1W3","Desserts, Cafe",20.0,Grange Park
OCHO - Hotel OCHO,CASUAL DINING,3.8,37.0,"195 Spadina Avenue, Toronto M5T 2C5",Canadian,65.0,Grange Park
The Rex Hotel Jazz and Blues Bar,CASUAL DINING,3.9,34.0,"194 Queen Street West, Toronto M5V 1Z1",Bar Food,40.0,Grange Park
Arctic Bites,DESSERT PARLOR,3.2,17.0,"21 Baldwin Street, Toronto M5T 1L1","Ice Cream, Thai, Desserts",,Grange Park
Anh Dao,CASUAL DINING,3.4,45.0,"383 Spadina Avenue, Toronto M5T2G6",Vietnamese,,Grange Park
Yummy Yummy Dumplings,CASUAL DINING,3.2,27.0,"79 Huron Street, Toronto","Northern Chinese, Chinese, Asian",25.0,Grange Park
Art Square Cafe,CAFÉ,3.5,35.0,"334 Dundas Street West, Toronto M5T1G5 1G5","Cafe, Desserts, Bakery, Coffee and Tea, Healthy Food, Mediterranean, Tea,",30.0,Grange Park
Light Cafe,CAFÉ,3.0,12.0,"23 Baldwin Street, Toronto M5T 1L1","Cafe, Sandwich",,Grange Park
Stelvio,CASUAL DINING,3.4,18.0,"354 Queen Street West, Toronto M5V 2A5",Italian,75.0,Grange Park
Provo FoodBar,CASUAL DINING,3.0,20.0,"308 Dundas Street West, Toronto M5T 1G4",Italian,35.0,Grange Park
Crêpes Club,CASUAL DINING,3.7,25.0,"49 Baldwin Street, Toronto M5T1L3","Eastern European, Desserts",25.0,Grange Park
Origination Chinese Noodle House,CASUAL DINING,3.3,12.0,"Mandale Mall, 421 Dundas Street West, Toronto M5T2W4",Northern Chinese,30.0,Grange Park
