,Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
0,Johnny's Hamburgers,QUICK BITES,4.2,469.0,2595 Victoria Park Avenue,American,15.0,Scarborough
1,Fishman Lobster Clubhouse,CASUAL DINING,4.0,175.0,680 Silver Star Boulevard,Seafood,140.0,Scarborough
2,Le Cafe Michi,CASUAL DINING,4.2,209.0,1802 Pharmacy Avenue,Japanese,55.0,Scarborough
3,Lamanna's Bakery,BAKERY,4.7,169.0,6758 Kingston Road,Bakery,25.0,Scarborough
4,Federick Restaurant,CASUAL DINING,4.2,228.0,1920 Ellesmere Road,Chinese,30.0,Scarborough
5,The Real McCoy,QUICK BITES,4.5,178.0,1033 Markham Road,Fast Food,25.0,Scarborough
6,Terry's Bar & Grill,CASUAL DINING,4.3,227.0,1920 Ellesmere Road,Bar Food,40.0,Scarborough
7,Diana's Oyster Bar And Grill,CASUAL DINING,4.1,119.0,2105 Lawrence Avenue E,Seafood,60.0,Scarborough
8,Perfect Chinese Restaurant,CASUAL DINING,4.0,148.0,4386 Sheppard Avenue East,Chinese,25.0,Scarborough
9,Gourmet Malaysia,CASUAL DINING,3.8,86.0,4466 Sheppard Avenue East,Malaysian,30.0,Scarborough
10,Panagio's,CASUAL DINING,4.6,121.0,1928 McCowan Road,American,35.0,Scarborough
11,Pho 88,CASUAL DINING,4.2,183.0,325 Bamburgh Circle,Vietnamese,30.0,Scarborough
12,Lin Garden Restaurant,CASUAL DINING,4.2,151.0,1806 Pharmacy Avenue,Chinese,25.0,Scarborough
13,The Markham Station,CASUAL DINING,3.8,148.0,5117 Sheppard Avenue East,Diner,55.0,Scarborough
14,Makkal Chon,CASUAL DINING,4.3,87.0,1979 Lawrence Avenue E,Korean,,Scarborough
15,One2Snacks,QUICK BITES,4.6,74.0,8 Glen Watford Drive,Malaysian,20.0,Scarborough
16,Saravanaa Bhavan,CASUAL DINING,4.2,92.0,1571 Sandhurst Circle,South Indian,40.0,Scarborough
17,Matsuda,CASUAL DINING,4.3,116.0,5651 Steeles Avenue E,Japanese,40.0,Scarborough
18,Fratelli Village Pizzeria,CASUAL DINING,4.3,121.0,384 Old Kingston Road,Fast Food,65.0,Scarborough
19,Chako,CASUAL DINING,3.8,111.0,2190 Mcnicoll Avenue,Japanese,60.0,Scarborough
20,Maple Yip,CASUAL DINING,4.0,60.0,4227 Sheppard Avenue East,Chinese,30.0,Scarborough
21,Remezzo,CASUAL DINING,4.1,92.0,3335 Sheppard Avenue East,Italian,50.0,Scarborough
22,Vi Pei Bistro,CASUAL DINING,4.2,94.0,2258 Kingston Road,European,70.0,Scarborough
23,Smith Bros. Steakhouse Tavern,CASUAL DINING,4.1,77.0,880 Warden Avenue,Steakhousehouse,,Scarborough
24,Magic Noodle,CASUAL DINING,3.4,61.0,2190 Mcnicoll Avenue,Northern Chinese,20.0,Scarborough
25,Asian Legend,CASUAL DINING,4.2,83.0,4452 Sheppard Avenue East,Northern Chinese,40.0,Scarborough
26,Pho Metro,CASUAL DINING,4.3,75.0,2057 Lawrence Avenue E,Vietnamese,30.0,Scarborough
27,Chris Jerk Caribbean Bistro,QUICK BITES,3.9,52.0,2570 Birchmount Road,Caribbean,35.0,Scarborough
28,Shawarma Empire,QUICK BITES,4.2,72.0,1823 Lawrence Avenue E,Middle Eastern,15.0,Scarborough
29,The Roti Hut,QUICK BITES,4.0,78.0,351 Pitfield Road,Caribbean,15.0,Scarborough
30,Casa Imperial,CASUAL DINING,3.6,81.0,4125 Steeles Avenue East,Chinese,60.0,Scarborough
31,Babu Takeout and Catering,QUICK BITES,4.3,79.0,4800 Sheppard Avenue East,Fast Food,13.0,Scarborough
32,0109 Dessert & Chocolate,DESSERT PARLOR,3.5,36.0,2190 McNicoll Avenue,Desserts,25.0,Scarborough
33,Karaikudi Chettinad Restaurant,CASUAL DINING,3.9,76.0,1225 Kennedy Road,South Indian,40.0,Scarborough
34,Naan & Kabob,CASUAL DINING,4.3,71.0,1801 Lawrence Avenue E,Middle Eastern,,Scarborough
35,Hunter's,CASUAL DINING,4.0,62.0,2574 Birchmount Road,Diner,35.0,Scarborough
