Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Seven Lives - Tacos Y Mariscos,QUICK BITES,4.9,310.0,"69 Kensington Avenue, Toronto M5T 2K2",Mexican,25.0,Kensington-Chinatown
Rol San,CASUAL DINING,4.1,380.0,"323 Spadina Avenue, Toronto M5T2E9","Dim Sum, Cantonese",45.0,Kensington-Chinatown
Mother's Dumplings,CASUAL DINING,4.1,279.0,"421 Spadina Avenue, Toronto M5T2G6",Northern Chinese,30.0,Kensington-Chinatown
Millie Creperie,DESSERT PARLOR,4.4,124.0,"161 Baldwin Street, Toronto M5T 1L9","Desserts, Cafe, Japanese",30.0,Kensington-Chinatown
El Trompo,QUICK BITES,4.4,247.0,"277 Augusta Avenue, Toronto M5T2M1",Mexican,45.0,Kensington-Chinatown
Pho Hung,CASUAL DINING,4.1,287.0,"350 Spadina Avenue, Toronto M5T2G4",Vietnamese,35.0,Kensington-Chinatown
Wanda's Pie In The Sky,BAKERY,4.2,178.0,"287 Augusta Avenue, Toronto M5T 2M2","Bakery, Cafe, Desserts",25.0,Kensington-Chinatown
Aji Sai,CASUAL DINING,3.9,320.0,"467 Queen Street W, Toronto M5V 2A9","Sushi, Japanese, Asian",70.0,Kensington-Chinatown
King's Noodle,CASUAL DINING,4.4,196.0,"296 Spadina Avenue, Toronto M5T 2E7",Cantonese,35.0,Kensington-Chinatown
Hibiscus Cafe,CAFÉ,4.4,115.0,"238 Augusta Avenue, Toronto","Cafe, Healthy Food",15.0,Kensington-Chinatown
The Burger's Priest,QUICK BITES,4.0,226.0,"463 Queen Street West, Toronto",Burger,30.0,Kensington-Chinatown
Dumpling House,CASUAL DINING,4.4,159.0,"328 Spadina Avenue, Toronto M5T 2E7",Northern Chinese,25.0,Kensington-Chinatown
Burgernator,QUICK BITES,4.3,142.0,"269 Augusta Avenue, Toronto","Burger, Fast Food",35.0,Kensington-Chinatown
Pizzeria Via Mercanti,CASUAL DINING,4.2,159.0,"188 Augusta Avenue, Toronto M5T 2L6","Italian, Pizza",50.0,Kensington-Chinatown
Big Fat Burrito,QUICK BITES,4.4,236.0,"285 Augusta Avenue, Toronto","Mexican, Fast Food",35.0,Kensington-Chinatown
Rasta Pasta,CASUAL DINING,4.2,94.0,"61 Kensington Avenue, Toronto M5T 2K1","Jamaican, Italian",25.0,Kensington-Chinatown
Jumbo Empanadas,QUICK BITES,4.3,155.0,"245 Augusta Avenue, Toronto M5T 1M5",Latin American,15.0,Kensington-Chinatown
The Dirty Bird,QUICK BITES,3.8,71.0,"79 Kensington Avenue, Toronto M5T2K2","Fast Food, Canadian",30.0,Kensington-Chinatown
Asian Legend,CASUAL DINING,4.0,163.0,"418 Dundas Street West, Toronto M5T1G7",Northern Chinese,40.0,Kensington-Chinatown
R&D,CASUAL DINING,3.6,66.0,"241 Spadina Avenue, Toronto, ON M5T 2E2","Chinese, Asian Fusion",100.0,Kensington-Chinatown
Nguyen Huong,QUICK BITES,4.2,66.0,"332 Spadina Avenue, Toronto M5T2E7",Vietnamese,10.0,Kensington-Chinatown
Gushi,QUICK BITES,3.9,38.0,"707 Dundas Street West, Toronto M5T 2W6",Japanese,25.0,Kensington-Chinatown
Buddha's Vegetarian Restaurant,CASUAL DINING,4.6,95.0,"666 Dundas Street West, Toronto M5T 1H9","Cantonese, Vegetarian, Chinese",25.0,Kensington-Chinatown
Rosewood,CASUAL DINING,3.5,61.0,"463 Dundas Street West, Toronto M5T 1G8","Dim Sum, Cantonese",30.0,Kensington-Chinatown
King's Café,CASUAL DINING,4.1,107.0,"192 Augusta Avenue, Toronto M5T 2L6","Chinese, Vegetarian",35.0,Kensington-Chinatown
Moo Frites,QUICK BITES,3.8,63.0,"178 Baldwin Street, Toronto M5T","Fast Food, Belgian",20.0,Kensington-Chinatown
Pho Pasteur,CASUAL DINING,4.1,84.0,"525 Dundas Street West, Unit 1, Toronto M5T 1H4",Vietnamese,30.0,Kensington-Chinatown
Pancho's Bakery,DESSERT PARLOR,4.0,70.0,"214, Augusta Avenue, Kensington-Chinatown, Toronto M5T2L8","Desserts, Mexican",20.0,Kensington-Chinatown
New Ho King,CASUAL DINING,3.8,126.0,"410 Spadina Avenue, Toronto M5T 2G7",Cantonese,35.0,Kensington-Chinatown
