Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Lahore Tikka House,CASUAL DINING,4.2,466.0,"1365 Gerrard Street East, Toronto M4L 1Z3","Pakistani, Indian",35.0,Leslieville
Gio Rana's Really Really Nice Restaurant,CASUAL DINING,4.5,385.0,"1220 Queen Street East, Toronto M4M 1L7",Italian,65.0,Leslieville
Maha's,CAFÉ,4.2,86.0,"226 Greenwood Avenue, Toronto M4L 2R2","Cafe, Egyptian",35.0,Leslieville
Queen Margherita Pizza,CASUAL DINING,4.2,280.0,"1402 Queen Street East, Toronto M4L 1C9",Pizza,60.0,Leslieville
Bobbette & Belle,BAKERY,4.0,119.0,"1121 Queen Street East, Toronto M4M1K9","Bakery, Desserts",20.0,Leslieville
Chino Locos,QUICK BITES,4.1,116.0,"4 Greenwood Avenue, Toronto M4L 2P4","Mexican, Fast Food",25.0,Leslieville
The Ceili Cottage,BAR,4.0,113.0,"1301 Queen Street East, Toronto M4L 1C2","Irish, Bar Food",45.0,Leslieville
Ed's Real Scoop,DESSERT PARLOR,4.6,114.0,"920 Queen Street East, Toronto","Ice Cream, Desserts",15.0,Leslieville
Descendant Pizza,CASUAL DINING,4.0,48.0,"1168 Queen Street East, Toronto M6J 1J5",Pizza,45.0,Leslieville
Baldini,CASUAL DINING,3.6,118.0,"1012 Queen Street East, Toronto M4M 1K1",Italian,60.0,Leslieville
The Tulip,CASUAL DINING,3.9,109.0,"1606 Queen Street East, Toronto M4L 3A7","Steak, Breakfast",45.0,Leslieville
Pizza Pide,QUICK BITES,4.4,79.0,"949 Gerrard Street East, Toronto M4M 2W7","Turkish, Pizza, Fast Food",25.0,Leslieville
Te Aro,CAFÉ,4.3,84.0,"983 Queen Street East, Toronto M4M1K2",Cafe,20.0,Leslieville
Great Burger Kitchen,QUICK BITES,4.0,79.0,"1056 Gerrard Street East, Toronto M4M 1Z7","Burger, Fast Food",30.0,Leslieville
Motimahal,CASUAL DINING,4.0,51.0,"1422 Gerrard Street East, Toronto M4L 1Z6",Indian,25.0,Leslieville
Sushi Mugen,CASUAL DINING,4.2,84.0,"1105 Queen Street East, Toronto M4M 1K7",Sushi,50.0,Leslieville
Tango Palace Coffee Company,CAFÉ,3.9,59.0,"1156 Queen Street East, Toronto M4M 1L2",Cafe,20.0,Leslieville
Goods & Provisions,CASUAL DINING,4.1,51.0,"1124 Queen Street East, Toronto M4M 1K8",Bar Food,60.0,Leslieville
Lazy Daisy's Cafe,CAFÉ,3.8,41.0,"1515 Gerrard Street East, Toronto M4L 2A4",Cafe,30.0,Leslieville
Ascari Enoteca,CASUAL DINING,3.9,51.0,"1111 Queen Street East, Toronto M4M 1K7",Italian,55.0,Leslieville
Siddhartha Pure Vegetarian,CASUAL DINING,3.8,67.0,"1471 Gerrard Street East, Toronto M4L2A1",Indian,50.0,Leslieville
Mercury Espresso Bar,CAFÉ,3.9,66.0,"915 Queen Street East, Leslieville","Cafe, Coffee and Tea",25.0,Leslieville
Hakka Wow,CASUAL DINING,3.6,30.0,1433 Gerrard Street East M4L 1Z7,Hakka Chinese,35.0,Leslieville
Leslie Jones,CASUAL DINING,4.0,56.0,"1182 Queen Street East, Toronto M4M1L4",European,60.0,Leslieville
Purple Penguin Cafe,CAFÉ,3.6,37.0,"889 Queen Street East, Toronto M4M 1J4",Cafe,25.0,Leslieville
The Friendly Thai,CASUAL DINING,3.5,59.0,"1218 Queen Street East, Toronto M4M 1L7",Thai,35.0,Leslieville
Regency Restaurant,CASUAL DINING,3.8,43.0,"1423 Gerrard Street East, Toronto M4L 1Z7",Indian,35.0,Leslieville
Bombay Chowpatty,QUICK BITES,2.9,34.0,"1386 Gerrard Street East, Toronto M4L 1Z2","Indian, Fast Food",25.0,Leslieville
Casa Di Giorgio Ristorante,CASUAL DINING,3.9,43.0,"1646 Queen Street East, Toronto M4L 1G3","Italian, Mediterranean, Pizza",55.0,Leslieville
Hanoi 3 Seasons,CASUAL DINING,4.0,42.0,"1135 Queen Street East, Toronto M4M 1K9",Vietnamese,40.0,Leslieville
OK OK Diner,CASUAL DINING,3.2,41.0,"1128 Queen Street East, Toronto M4M 1K9",Diner,25.0,Leslieville
Lake Inez,BAR,3.6,20.0,"1471 Gerrard Street E, Toronto M4L 2A1",Asian Fusion,75.0,Leslieville
Gale's Snack Bar,QUICK BITES,3.9,20.0,"539 Eastern Avenue, Toronto M4M1C6",Sandwich,20.0,Leslieville
