Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Ding Tai Fung,CASUAL DINING,4.4,230.0,"First Markham Place, 3235 Highway 7 E, Markham L3R 3P3","Shanghai, Chinese, Asian",35.0,Markham
Zen,FINE DINING,4.7,135.0,7634 Woodbine Avenue. Markham L3R 2N2,"Sushi, Japanese, Asian",300.0,Markham
Smash Kitchen & Bar,CASUAL DINING,4.3,121.0,"4261 Hwy 7, Markham L3R 9W6","Grill, Italian",60.0,Markham
Loui's Kouzina,QUICK BITES,4.3,161.0,"9255 Woodbine Avenue, Markham L6C 1Y9","Greek, Fast Food",30.0,Markham
Kaka,CASUAL DINING,3.7,63.0,"First Markham Place, 3235 Highway 7 East, Unit 18A, Markham L3R 3R3","Sushi, Japanese",70.0,Markham
Izakaya Ju,CASUAL DINING,3.9,97.0,"J-Town, 3160 Steeles Avenue East, Markham L3R 8T3","Sushi, Japanese",40.0,Markham
Inspire,CASUAL DINING,4.0,70.0,"144 Main Street North, Markham L3P 5T3","French, Fusion",80.0,Markham
Gal's Sushi,CASUAL DINING,4.1,165.0,"3621 Highway 7, Markham L3R 0G6","Sushi, Japanese, Asian",30.0,Markham
India's Taste,CASUAL DINING,4.3,110.0,"680 Denison Street, Markham L3R 1C1",Indian,45.0,Markham
Wooffles & Cream,DESSERT PARLOR,3.7,45.0,"New Kennedy Square, Food Court, 8360 Kennedy Road, Unit 81, Toronto L3R 9W4","Desserts, Ice Cream, Asian",15.0,Markham
Fancy Chinese Cuisine,CASUAL DINING,4.0,69.0,"7750 Kennedy Road, Markham L3R 0A7","Dim Sum, Cantonese, Chinese, Asian",50.0,Markham
Firehall Confectionary,DESSERT PARLOR,4.5,81.0,"170 Main Street Unionville, Markham L3R 2G9","Desserts, Ice Cream",25.0,Markham
Bamiyan Kabob,QUICK BITES,4.9,104.0,"7760 Markham Road, Markham",Middle Eastern,35.0,Markham
Dragon Legend,CASUAL DINING,3.9,73.0,"25 Lanark Road, Markham L3R 9Y7","Chinese, Asian",30.0,Markham
AllStar Wings & Ribs,CASUAL DINING,4.3,143.0,"9255 Woodbine Avenue, Unit 11, Markham","Bar Food, American",50.0,Markham
Papa Chang's,QUICK BITES,3.8,70.0,"5970 16th Avenue, Unit 110, Markham",Taiwanese,25.0,Markham
Green Grotto Tea Room,CAFÉ,4.0,84.0,"7040 Warden Avenue, Markham L3R 4N3","Bubble Tea, Cafe, Desserts",30.0,Markham
Niwatei,CASUAL DINING,3.9,73.0,"J-Town, 3160 Steeles Avenue East, Unit 2, Markham L3R 4G9","Ramen, Japanese",30.0,Markham
Chinese Dumpling House,CASUAL DINING,4.0,77.0,"Metro Square Plaza, 3636 Steeles Avenue E, Markham L3R 1K9","Northern Chinese, Chinese, Asian",35.0,Markham
Yang's Kitchen & Sushi Bar,CASUAL DINING,3.8,104.0,"4261 Hwy 7, Markham L3R 9W6","Sushi, Japanese, Asian",30.0,Markham
Ajisen Ramen,CASUAL DINING,3.1,99.0,"7010 Warden Avenue, Markham L3R 5Y3","Ramen, Japanese",30.0,Markham
Little Bangkok,CASUAL DINING,3.9,78.0,"227 Main Street, Markham","Thai, Asian",40.0,Markham
369 Shanghai Dimsum,CASUAL DINING,3.9,75.0,"New Kennedy Square, 8380 Kennedy Road, Markham L3R 2N9","Shanghai, Chinese, Asian",40.0,Markham
Blue Ocean Cafe,CASUAL DINING,3.9,57.0,"New Kennedy Square, 8362 Kennedy Road, Markham L3R 0W4",Hong Kong Style,25.0,Markham
Mei Nung Beef Noodle House,CASUAL DINING,4.0,53.0,"First Markham Place, 3229 Hwy 7 E, Markham L3R 3P9","Taiwanese, Chinese, Asian",25.0,Markham
Big Bone BBQ & Wicked Wings,CASUAL DINING,4.1,51.0,"180 Bullock Drive, Markham L3P 7N3","BBQ, American",35.0,Markham
Congee Queen,CASUAL DINING,4.1,83.0,"5308 Highway 7, Unit 5-7, Markham","Cantonese, Chinese, Asian",40.0,Markham
Symposium Cafe Restaurant & Lounge,CASUAL DINING,3.1,36.0,9990 Kennedy Road L6C0M4,"Diner, Burger, Desserts",65.0,Markham
Phoenix Restaurant,CASUAL DINING,3.5,72.0,"7155 Woodbine Avenue, Markham L3R 1A3","Hong Kong Style, Chinese, Asian",40.0,Markham
Syogun,CASUAL DINING,3.5,41.0,"8261 Woodbine Avenue, Markham L3R 8Z5","Sushi, Japanese, Asian",50.0,Markham
Peter's Dining,FINE DINING,4.3,58.0,"5701 Highway 7, Markham L3P 1B1","Grill, Seafood",150.0,Markham
Chung King Garden,CASUAL DINING,4.0,55.0,"Market Village, 4394 Steeles Avenue East, Unit D4, Markham","Northern Chinese, Chinese, Asian",45.0,Markham
JOEY Markville,CASUAL DINING,3.5,56.0,"5000 Highway 7 E #1247, Markham L3R 4M9","Steak, Grill, Fusion",70.0,Markham
Lemon Bistro,CASUAL DINING,4.0,54.0,"76 Main Street North, Markham L3P 1X5","Italian, French, European",80.0,Markham
Keung's Delight,CASUAL DINING,3.6,51.0,"7030 Warden Avenue, Markham","Cantonese, Chinese, Asian",35.0,Markham
Casa Victoria,CASUAL DINING,3.7,57.0,"8601 Warden Avenue, Unit 4, Markham","Dim Sum, Cantonese",65.0,Markham
