Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Memphis BBQ & Wicked Wings,CASUAL DINING,4.5,58.0,"327 Bronte Street South, Milton","BBQ, American",35.0,Milton
Toss Thai,CASUAL DINING,4.1,67.0,"1120 Steeles Avenue East, Milton L9T6R1","Asian, Chinese, Thai",43.0,Milton
Marquee Steakhouse & Piano Lounge,FINE DINING,4.3,66.0,"500 Steeles Avenue East, Milton L9T3G4","European, Seafood, Steak",80.0,Milton
Pasqualino,CASUAL DINING,4.2,61.0,"248 Main Street East, Milton","Seafood, Italian",60.0,Milton
Symposium Cafe Restaurant & Lounge,CASUAL DINING,3.7,68.0,611 Holly Avenue. L9T0K4,"Diner, Burger, Desserts",65.0,Milton
Thai House,CASUAL DINING,4.1,67.0,"181 Main Street East, Milton","Thai, Asian",35.0,Milton
Aji Sai Sushi,CASUAL DINING,3.5,73.0,"478 Steeles Avenue East, Milton L9T 3P7","Sushi, Japanese, Asian",50.0,Milton
Royal Garden,CASUAL DINING,3.1,46.0,"550 Ontario St S, Milton L9T5E4","Hakka Chinese, Thai, Asian",13.0,Milton
Halifax Donair,QUICK BITES,4.1,63.0,"295 Main Street East, Milton",Fast Food,20.0,Milton
Sushi-Ya,CASUAL DINING,3.8,40.0,"8 Martin Street, Milton","Sushi, Japanese, Korean, Asian",35.0,Milton
Portabello's,CASUAL DINING,3.5,50.0,"10220 Derry Road, Milton","Italian, Pizza",50.0,Milton
Oshima Sushi,CASUAL DINING,3.5,46.0,"395 Main Street East, Milton","Sushi, Japanese, Asian",30.0,Milton
Paramount Fine Foods,CASUAL DINING,3.6,43.0,"1149 Maple Avenue, Milton","Lebanese, Middle Eastern",40.0,Milton
Troy's Diner,CASUAL DINING,3.3,63.0,"295 Main Street East, Milton",Diner,40.0,Milton
EddieO's Pourhouse & Kitchen,CASUAL DINING,4.1,50.0,"370 Main Street East, Milton","Bar Food, American",50.0,Milton
The Bistro on Main,CASUAL DINING,3.9,34.0,"164 Main Street East, Milton","Canadian, European",35.0,Milton
The WORKS,CASUAL DINING,3.9,35.0,"190 Main Street East, Milton",Burger,45.0,Milton
Mr. Dumpling,QUICK BITES,3.0,42.0,"Milton Common, 890 Main Street East, Milton","Chinese, Asian",25.0,Milton
Casa Americo,CASUAL DINING,3.9,43.0,"144 Main Street East, Milton L9T 1N6",Italian,50.0,Milton
Pho Milton,CASUAL DINING,3.8,35.0,"500 Laurier Avenue, Milton","Vietnamese, Asian",35.0,Milton
East Side Mario's,CASUAL DINING,2.8,37.0,"860 Main Street East, Milton L9T 0J4","Italian, Canadian, Pizza",40.0,Milton
The Ivy Arms,CASUAL DINING,3.7,41.0,"201 Main Street East, Milton",Bar Food,60.0,Milton
Cora's Breakfast & Lunch,CASUAL DINING,3.8,45.0,"Milton Mall, 65 Ontario Street South, Milton","Diner, Canadian",35.0,Milton
Hood & Grill,CASUAL DINING,3.9,32.0,"260 Main Street East, Milton",Mediterranean,40.0,Milton
La Rose Italian Bakery,BAKERY,3.9,34.0,"327 Bronte Street South, Milton L9T 4A4","Cafe, Bakery",15.0,Milton
The Bombay Grill,CASUAL DINING,3.9,37.0,"370 Main Street East, Milton",Indian,40.0,Milton
Gold City,CASUAL DINING,3.8,40.0,"425 Main Street East, Milton","Chinese, Asian",35.0,Milton
Luigi's Lasagna & Pizzeria,CASUAL DINING,3.4,30.0,"17 Commercial St, Milton L9T",Italian,30.0,Milton
Heritage Fish & Chips,QUICK BITES,3.9,39.0,"Milton Common, 840 Main Street East, Milton L9T 0J4",Fish and Chips,30.0,Milton
Ned Devine's,BAR,3.0,42.0,"575 Ontario Street South, Milton","Bar Food, Irish",75.0,Milton
Shoeless Joe's,BAR,3.0,42.0,"Milton Common, 800 Main Street East, Milton","American, Bar Food",60.0,Milton
Cafe Zauq,QUICK BITES,3.7,27.0,"327 Bronte Street South, Milton",Indian,40.0,Milton
La Toscana,FINE DINING,3.9,26.0,"165 Main Street East, Milton L9T 1N7","Seafood, Italian",90.0,Milton
Vito's,QUICK BITES,3.7,37.0,"464 Steeles Avenue East, Milton","Pizza, Fast Food",20.0,Milton
Benny's Curry & Roti,CASUAL DINING,3.8,31.0,"468 Steeles Avenue East, Milton","Indian, West Indian",30.0,Milton
Risposta Bistro,CASUAL DINING,3.4,9.0,24 Crawford Crescent,Italian,80.0,Milton
Louie's Diner,CASUAL DINING,3.9,21.0,"466 Steeles Avenue East, Milton L9T 3P7",Diner,35.0,Milton
Hero Certified Burgers,QUICK BITES,3.4,32.0,"Milton Common, 850 Main Street East, Milton","Burger, Sandwich",25.0,Milton
Montana's Cookhouse,CASUAL DINING,3.1,26.0,"1230 Steeles Avenue East, Milton L9T 6R1","Canadian, Grill, BBQ, Steak",50.0,Milton
Empire Wok,QUICK BITES,3.1,19.0,"1040 Kennedy Circle, Milton",Chinese,35.0,Milton
Osmow's,CASUAL DINING,3.0,22.0,"875 Main Street East, Milton",Mediterranean,30.0,Milton
Chef Sanjeev Kapoor's Khazana - Milton,CASUAL DINING,3.4,16.0,"1185 Maple Avenue, Milton L9T 0A5",Indian,30.0,Milton
Kelsey's,CASUAL DINING,3.1,21.0,"45 Chisholm Drive, Milton L9T 4A6",Canadian,65.0,Milton
WingsUp!,QUICK BITES,3.7,28.0,"228 Main Street East, Milton L9T 1N8",Fast Food,30.0,Milton
Swiss Chalet,CASUAL DINING,3.4,17.0,"50 Market Drive, Milton L9T 3H5","Canadian, Grill, Beverages",40.0,Milton
Grill Daddy,CASUAL DINING,3.8,16.0,"140 Main Street East, Milton","Breakfast, Diner, American",45.0,Milton
Silver Spoon,QUICK BITES,3.1,18.0,"500 Laurier Avenue, Milton","Pakistani, Indian, Hakka Chinese",20.0,Milton
Sunset Grill,CASUAL DINING,3.3,21.0,"Derry Heights Plaza, 6941 Derry Road, Milton","Diner, Breakfast",30.0,Milton
Wild Wing,CASUAL DINING,3.7,22.0,"Derry Heights Plaza, 6921 Derry Road, Milton",Bar Food,50.0,Milton
Pita Nutso,QUICK BITES,2.7,21.0,"Derry Heights Plaza, 6901 Derry Road, Milton","Mediterranean, Sandwich",25.0,Milton
Coffee Culture,CAFÉ,3.2,19.0,"265 Main Street East, Milton",Cafe,20.0,Milton
Mucho Burrito,QUICK BITES,3.7,23.0,"Milton Common, 890 Main Street East, Milton",Tex-Mex,30.0,Milton
Pizzaville,QUICK BITES,3.9,21.0,"1030 Kennedy Cir #10, Milton, ON L9T 0J9","Pizza, Fast Food",25.0,Milton
KFC,QUICK BITES,2.7,10.0,"405 Martin Street, Milton",Fast Food,25.0,Milton
Marble Slab Creamery,DESSERT PARLOR,3.3,15.0,"1003 Maple Avenue, Milton","Ice Cream, Desserts",20.0,Milton
Milton Fish & Chips,QUICK BITES,3.8,20.0,"17 Wilson Drive, Milton",Fish and Chips,25.0,Milton
Boston Pizza,CASUAL DINING,3.8,20.0,"1085 Maple Avenue, Milton","American, Pizza",40.0,Milton
Rad Brothers,CASUAL DINING,3.5,17.0,"550 Ontario Street South, Milton","American, Bar Food",60.0,Milton
Thai House Cuisine,CASUAL DINING,3.7,14.0,"43 Main Street South, Campbellville","Thai, Asian",45.0,Milton
