Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
GuruLukshmi,CASUAL DINING,4.5,336.0,7070 Saint Barbara Boulevard L5W 0E6,Indian,40.0,Mississauga
Burrito Boyz,QUICK BITES,4.4,422.0,"9 Stavebank Road, Mississauga L5G 2T3","Mexican, Fast Food",25.0,Mississauga
Mickey's Pizza,CASUAL DINING,4.5,232.0,"1900 Lakeshore Road W, Mississauga L5J 1J7",Pizza,30.0,Mississauga
Zet's Restaurant,CASUAL DINING,4.4,195.0,6445 Airport Road L4V 1E4,"Greek, Burger, Grill, Breakfast",30.0,Mississauga
Union Social Eatery,CASUAL DINING,4.3,191.0,"6986 Financial Drive, Mississauga L5N 8J4",Grill,50.0,Mississauga
&Company Resto Bar,CASUAL DINING,3.9,243.0,"295 Enfield Place, Mississauga L5B 3J4","Canadian, Fusion",70.0,Mississauga
Hinote Sushi,CASUAL DINING,4.4,189.0,"720 Bristol Road, Unit 4, Mississauga L5R 4A3","Sushi, Japanese",50.0,Mississauga
Twin Fish,CASUAL DINING,4.3,181.0,"80 Courtneypark Drive East, Mississauga L5T 2Y3","Thai, Asian",43.0,Mississauga
Eddie's Wok 'N' Roll,CASUAL DINING,4.2,204.0,"6400 Millcreek Drive, Mississauga L5N 3E7","Hakka Chinese, Thai",40.0,Mississauga
Avani,CASUAL DINING,4.2,199.0,"801 Matheson Boulevard, Unit 1, Mississauga L5V 2N6","Indian, Hakka Chinese",55.0,Mississauga
Scaddabush,CASUAL DINING,4.1,144.0,"Square One Shopping Centre, 209 Rathburn Road L5B 4E5",Italian,60.0,Mississauga
La Castile,FINE DINING,4.4,159.0,"2179 Dundas Street E, Mississauga L4X 1M3","Seafood, Grill",160.0,Mississauga
Peter's On Eglinton Restaurant,CASUAL DINING,4.4,167.0,"1035 Eglinton Avenue E, Mississauga L4W 1K4",Canadian,65.0,Mississauga
168 Sushi Japan Buffet. Bar,CASUAL DINING,3.6,188.0,"2366 Dundas Street West, Mississauga L5K 1R7","Sushi, Japanese, Asian",35.0,Mississauga
Daal Roti,CASUAL DINING,4.2,104.0,25 Watline Avenue L4Z 3E5,Indian,50.0,Mississauga
Paramount Fine Foods,CASUAL DINING,4.3,151.0,1290 Crestlawn Drive L4W 1A6,"Lebanese, Middle Eastern",40.0,Mississauga
Nirvana,CASUAL DINING,4.2,125.0,"35 Brunel Road, Mississauga L4Z 3E8",Indian,55.0,Mississauga
Prince Steakhouse,CASUAL DINING,4.2,147.0,"5555 Eglinton Avenue West, Mississauga N M9C 5M1","Japanese, Steak",50.0,Mississauga
Iron Chef,CASUAL DINING,4.3,144.0,"4920 Tomken Road, Mississauga L4W 1J8",Japanese,30.0,Mississauga
Astoria Shish Kebob House,CASUAL DINING,4.4,149.0,"1970 Dundas Street E, Mississauga L4X 2W7","Greek, Kebab",50.0,Mississauga
Miga,CASUAL DINING,4.0,142.0,"2382 Dundas Street West, Mississauga L5K 1R7","BBQ, Korean, Japanese, Asian",40.0,Mississauga
Chilli Chicken House,CASUAL DINING,4.5,101.0,"4040 Creditview Road, Mississauga L5C 4E3","Hakka Chinese, Indian, Asian",40.0,Mississauga
Bamiyan Kabob,QUICK BITES,4.5,121.0,"5120 Dixie Road, Mississauga L4W 4J7",Middle Eastern,35.0,Mississauga
Tremendous Chinese,CASUAL DINING,4.1,151.0,"3550 Wolfedale Road, Mississauga L5C 3T6","Dim Sum, Cantonese",35.0,Mississauga
Goodfellas,CASUAL DINING,3.8,151.0,209 Queen Street S L5M 1L4,"Pizza, Italian",80.0,Mississauga
Bombay Bhel,CASUAL DINING,4.0,139.0,"5035 Hurontario Street, Mississauga L4Z 3X7",Indian,45.0,Mississauga
El Sombrero,CASUAL DINING,4.1,114.0,"35 Brunel Road, Mississauga L4Z 3E8",Mexican,45.0,Mississauga
Buk Chang Dong Soon Tofu,CASUAL DINING,4.5,113.0,"Equity Square Plaza, 3085 Hurontario Street L5A 4E4",Korean,30.0,Mississauga
Apricot Tree Cafe,CAFÉ,4.2,103.0,1900 Dundas Street West L5K 1P9,Cafe,40.0,Mississauga
Tandoori Flame,CASUAL DINING,3.2,92.0,"Heartland Town Centre, 5975 Mavis Road, Mississauga L5R 3T7","North Indian, Indian",35.0,Mississauga
Colossus,CASUAL DINING,4.5,123.0,"280 Lakeshore Road East, Mississauga L5G 1H2",Greek,50.0,Mississauga
Heart Sushi,CASUAL DINING,3.4,103.0,"Heartland Town Centre, 815 Britannia Road W, Mississauga L5V 2X8","Sushi, Japanese, Asian",55.0,Mississauga
Dairy Cream,DESSERT PARLOR,4.6,113.0,"715 Lakeshore Road E, Mississauga L5G 1J7","Ice Cream, Desserts",15.0,Mississauga
Caffe Demetre,DESSERT PARLOR,4.2,101.0,"90 Courtneypark Drive East, Mississauga L5T 2Y3","Desserts, Ice Cream, Cafe",35.0,Mississauga
Papa Giuseppe's,CASUAL DINING,4.3,105.0,"26 Lakeshore Road E, Mississauga L5G 1C8 1C8","Italian, Pizza",70.0,Mississauga
Saravanaa Bhavan,CASUAL DINING,3.3,91.0,"4559 Hurontario Street, Mississauga L4Z 3L9",South Indian,30.0,Mississauga
Snug Harbour,CASUAL DINING,3.6,109.0,14 Stavebank Road South L5G 2T1,Seafood,70.0,Mississauga
BarBQ Tonite,CASUAL DINING,4.3,103.0,"35 Dundas Street W, Mississauga L5B 4M4","Pakistani, North Indian",40.0,Mississauga
Earls,CASUAL DINING,4.2,128.0,"Square One Shopping Centre, 100 City Centre Drive, Mississauga L5B 2C9",Grill,60.0,Mississauga
Sehmi Sushi,CASUAL DINING,4.1,81.0,"3015 Winston Churchill Boulevard, Unit 3, Mississauga L5L 2V8","Sushi, Korean",40.0,Mississauga
Raw Aura,CASUAL DINING,4.1,77.0,"94 Lakeshore Road East, Mississauga L5G 1E3",Healthy Food,50.0,Mississauga
Osmow's,CASUAL DINING,3.9,136.0,"251 Queen Street South, Mississauga L5H 1L7",Mediterranean,30.0,Mississauga
Moxie's Grill & Bar,CASUAL DINING,3.2,124.0,"100 City Centre Dr, 2-409, Mississauga L5B 1M7","Grill, Steak, Canadian, Fusion",65.0,Mississauga
Axia Restaurant & Bar,CASUAL DINING,4.0,119.0,"5045 Plantation Place, Mississauga L5M 6J3","Sushi, Chinese, Asian Fusion",45.0,Mississauga
Emerald Chinese Restaurant,CASUAL DINING,3.9,112.0,"30 Eglinton Avenue W, Mississauga L5R 3E7",Dim Sum,35.0,Mississauga
Big Bowl,CASUAL DINING,4.2,107.0,"2655 Liruma Road, Unit 1, Mississauga L5K 1Y8","Vietnamese, Asian",40.0,Mississauga
Indian Cuisine By The Lake,CASUAL DINING,4.2,83.0,"56A Lakeshore Road East, Mississauga L5G 1E1",Indian,50.0,Mississauga
RD's Southern BBQ,CASUAL DINING,4.1,74.0,25 Aventura Court Mississauga L5T 3A1,"BBQ, American",50.0,Mississauga
Udupi Madras Cafe,CASUAL DINING,4.1,75.0,"265 Enfield Place, Mississauga L5B 3E2",Indian,50.0,Mississauga
Watan Kabob,QUICK BITES,4.3,71.0,"55 matheson Boulevard East, Mississauga L4Z 1X8","Kebab, Afghan",30.0,Mississauga
Zen Gardens Vegetarian Restaurant,CASUAL DINING,4.3,70.0,"6980 Maritz Drive, Unit 6 L5W 1Z3","Sushi, Japanese, Chinese, Asian",45.0,Mississauga
Bobby's Hideaway,CASUAL DINING,4.1,95.0,20 Queen Street North L5N 1A1,Diner,40.0,Mississauga
Canyon Creek,CASUAL DINING,4.1,120.0,299 Rathburn Road West L5B 4C1,Steak,80.0,Mississauga
Bamboo Legend,CASUAL DINING,4.3,90.0,"3145 Dundas St W, L5L 4V5","Thai, Vietnamese",43.0,Mississauga
Cagney's Steakhouse & Wine Bar,CASUAL DINING,3.9,70.0,"128 Queen Street South, Mississauga L5M 1K8","Steak, Bar Food",80.0,Mississauga
Holy Smokez,CASUAL DINING,4.2,70.0,1133 Dundas Street East L4Y 2C3,"BBQ, Canadian",30.0,Mississauga
Jack Astor's,CASUAL DINING,4.0,94.0,"Square One Shopping Centre, 219 Rathburn Road West L5B 4C1",Bar Food,55.0,Mississauga
The Keg Steakhouse + Bar - Mississauga Heartland,CASUAL DINING,4.3,94.0,"670 Matheson Blvd W, Mississauga L5R 3T2",Steak,100.0,Mississauga
Lazeez Shawarma,QUICK BITES,3.7,76.0,"6085 Creditview Road, Mississauga L5V 2A8",Middle Eastern,25.0,Mississauga
C&C Dubbs Hamburgers,QUICK BITES,4.6,74.0,"1706 Dundas Street E, Mississauga L4X 1L7",Diner,25.0,Mississauga
Seoul House,CASUAL DINING,4.1,70.0,"265 Enfield Place, Mississauga L5B 3Y7","Korean, Japanese, Asian",40.0,Mississauga
Prince Sushi,CASUAL DINING,4.0,105.0,"90 Courtney park Drive East, Unit 4 L5T 2Y3","Sushi, Japanese, Asian",40.0,Mississauga
The Maharaja,CASUAL DINING,3.8,53.0,4646 Heritage Hills Boulevard L5R 1Y3 1Y3,"Indian, Pakistani",80.0,Mississauga
Man Doo Hyang,CASUAL DINING,4.0,61.0,"169 Dundas Street E, Mississauga L5A 1W8","Korean, Asian",50.0,Mississauga
Sushi Tei,CASUAL DINING,4.1,98.0,"4040 Creditview Road, Mississauga L5C 3Y8","Sushi, Japanese, Asian",60.0,Mississauga
Bashu Sichuan Cusine,CASUAL DINING,4.0,67.0,"4559 Hurontario Street, Mississauga L4Z 3L9","Sichuan, Chinese",40.0,Mississauga
Pump House Grille Co.,CASUAL DINING,4.2,104.0,"40 Lakeshore Road East, Mississauga L5G 1C8 1C8",Grill,70.0,Mississauga
Pho Mi 99,CASUAL DINING,4.2,78.0,"Heartland Town Centre, 5955 Latimer Drive, Mississauga L5V 0B7","Vietnamese, Thai, Asian",40.0,Mississauga
Wacky Wings,CASUAL DINING,3.7,84.0,"1248 Dundas Street E, Mississauga L4Y 2C1","American, Bar Food",40.0,Mississauga
Zauq,CASUAL DINING,3.7,77.0,"1325 Eglinton Avenue W, Mississauga L4W 4L9","Pakistani, Indian, Hakka Chinese",30.0,Mississauga
Dai Ichi Sushi,CASUAL DINING,4.1,93.0,"3105 Winston Churchill Boulevard, Mississauga L5L 5S3","Sushi, Korean, Asian",40.0,Mississauga
Kanda Sushi,CASUAL DINING,3.7,75.0,"2325 Hurontario Street, Mississauga","Sushi, Japanese, Asian",55.0,Mississauga
Ming Room,CASUAL DINING,4.1,76.0,"6461 Mississauga Road, Mississauga L5N 1A6","Hakka Chinese, Chinese",40.0,Mississauga
Sam Woo BBQ,CASUAL DINING,3.9,77.0,"660 Eglinton Avenue W, Mississauga L5R 3V2",Cantonese,35.0,Mississauga
Kenzo Ramen,QUICK BITES,3.9,55.0,"720 Burnhamthorpe Road W, Mississauga L5C 3X3","Ramen, Japanese",30.0,Mississauga
Chiuchow Man,CASUAL DINING,4.0,42.0,"Golden Square Centre, Ground Floor, 1177 Central Pkwy W L5C 4P3","Chinese, Asian",30.0,Mississauga
The Wilcox Gastropub,BAR,4.2,50.0,"30 Eglinton Avenue West, Mississauga L5R 0C1",American,50.0,Mississauga
Alioli Ristorante,CASUAL DINING,4.2,72.0,"350 Burnhamthorpe Road West, Mississauga L5B 3J1",Italian,85.0,Mississauga
Song Cook's,CASUAL DINING,3.9,61.0,"1310 Dundas Street E, Mississauga L4Y 1M6",Korean,40.0,Mississauga
The Open Cork,CASUAL DINING,3.5,75.0,"2101 Dundas Street East, Mississauga L4X 1M3",Italian,90.0,Mississauga
Blue Lagoon Seafood Master,CASUAL DINING,3.7,38.0,"Mississauga Chinese Centre, 888 Dundas Street East L4Y 4G6","Dim Sum, Cantonese, Chinese, Asian",45.0,Mississauga
Saucy Kytchen,CASUAL DINING,3.9,62.0,"730 Lakeshore Road East, Mississauga L5G1J6","Italian, Pizza, Sandwich",35.0,Mississauga
Pho Rua Vang Golden Turtle,CASUAL DINING,3.8,67.0,723 Central Parkway West L5B 4L1,"Vietnamese, Asian",30.0,Mississauga
Port 229 Artisan Bistro,BAR,4.1,64.0,"231 Lakeshore Road East, Mississauga",French,65.0,Mississauga
Zorro's Steak & Seafood House,CASUAL DINING,3.9,77.0,"7171 Torbram Rd, Mississauga L4T3W4","Steak, Seafood",85.0,Mississauga
Dunk'n Dip,DESSERT PARLOR,3.7,44.0,"241 Lakeshore Road East, Mississauga L5G 1G8",Desserts,20.0,Mississauga
Cantina Mexicana,CASUAL DINING,3.5,83.0,277 Queen Street South L5M 1L9,Mexican,40.0,Mississauga
Summit Garden,CASUAL DINING,3.8,71.0,"3015 Winston Churchill Boulevard, Mississauga L5L 2V8","Dim Sum, Cantonese, Chinese, Asian",40.0,Mississauga
Bairrada Churrasqueira,CASUAL DINING,3.7,78.0,33 Hillcrest Avenue L5B 1K5,"Portuguese, European",60.0,Mississauga
Burger Factory,QUICK BITES,3.7,55.0,"5130 Dixie Road, Mississauga L4W 4K2","Burger, Fast Food",20.0,Mississauga
Sushi In Sushi,CASUAL DINING,4.4,54.0,"2310 Battleford Road, Unit 5, Mississauga L5N 3K6","Sushi, Japanese, Korean",35.0,Mississauga
Truscott Italian Bakery & Delicatessen,BAKERY,4.4,41.0,"2425 Truscott Drive, Mississauga L5J2B4","Bakery, Italian, Cafe",15.0,Mississauga
Boston Pizza,CASUAL DINING,3.4,46.0,"35 Square One Drive, Mississauga, Toronto L5B 0E2","American, Pizza",40.0,Mississauga
Piatto Ristorante,CASUAL DINING,3.9,53.0,"1646 Dundas Street West, Mississauga L5C 1E6",Italian,65.0,Mississauga
Pho Mi 99,CASUAL DINING,4.0,71.0,"4557 Hurontario Street, Mississauga L4Z 3M2","Vietnamese, Asian",35.0,Mississauga
