Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Auberge du Pommier,FINE DINING,4.5,644.0,"4150 Yonge St., Toronto, ON M2P 2C6",French,150.0,North York
Han Ba Tang,CASUAL DINING,4.4,173.0,"4862 Yonge Street, North York M2N 5N2","Korean, Asian Fusion, Asian",30.0,North York
Joey,CASUAL DINING,4.4,304.0,"75, O'Neill Road, North York, Toronto M3C 0H2","Steak, Grill, Fusion",70.0,North York
Pastel,CAFÉ,4.6,156.0,"5417 Yonge Street, North York M2N 5R6","Cafe, Desserts",35.0,North York
Aoyama Sushi,CASUAL DINING,4.4,156.0,"2766 Victoria Park Avenue, North York M1W 1C2","Sushi, Japanese, Asian",55.0,North York
Dragon Pearl,CASUAL DINING,4.1,176.0,"865 York Mills Road Unit 2, North York M3B 1Y6","Chinese, Asian",30.0,North York
Oliver & Bonacini Cafe Grill,CASUAL DINING,3.9,228.0,"Bayview Village Shopping Centre, 2901 Bayview Avenue, Toronto, ON M2K 1E6","Grill, Italian, Canadian, Fusion",,North York
Buk Chang Dong Soon Tofu,CASUAL DINING,4.4,169.0,"5445 Yonge Street, North York M2N 6K7",Korean,30.0,North York
Congee Queen,CASUAL DINING,4.2,198.0,"895 Lawrence avenue east, North York","Cantonese, Chinese, Asian",40.0,North York
CASA manila Restaurant,CASUAL DINING,3.9,102.0,879 York Mills Road M3B 1Y5,"Filipino, Asian",40.0,North York
Nomé Izakaya,BAR,3.8,101.0,"4848 Yonge Street, North York M2N 5N2","Japanese, Asian",70.0,North York
Fabbrica,CASUAL DINING,4.0,167.0,"Shops at Don Mills, 49 Karl Fraser Road, North York M3C 0E5",Italian,90.0,North York
Sushi Bong,CASUAL DINING,4.2,166.0,"5 Northtown Way, North York","Sushi, Japanese, Asian",40.0,North York
Sushi Moto,CASUAL DINING,4.4,141.0,"4901 Yonge Street, North York M2N 5N6","Sushi, Japanese, Asian",80.0,North York
Taro's Fish,QUICK BITES,4.4,84.0,"800 Sheppard Avenue E, North York M2K 1C3","Sushi, Japanese, Deli",25.0,North York
KINKA IZAKAYA,CASUAL DINING,3.7,44.0,"Hullmark Centre, 4775 Yonge Street, Unit 114, North York M2N 5M5 5M5","Japanese, Asian",55.0,North York
