Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Stoney's Bread Company,CASUAL DINING,4.6,394.0,"325 Kerr Street, Oakville",Italian,45.0,Oakville
Spoon & Fork,CASUAL DINING,3.9,160.0,"2345 Trafalgar Road, Oakville","Japanese, Thai, Asian",65.0,Oakville
Kerr Street Cafe,CAFÉ,4.4,80.0,"298 Kerr Street, Oakville","Cafe, Breakfast",20.0,Oakville
Trattoria Timone,CASUAL DINING,4.3,106.0,"Oakville Entertainment Centre, 2091 Winston Park Drive, Oakville",Italian,55.0,Oakville
The WORKS,CASUAL DINING,3.7,106.0,"149 Lakeshore Road East, Oakville L6J 5C3",Burger,45.0,Oakville
Mandarin Restaurant -Erin Mills,CASUAL DINING,3.2,147.0,3105 Dundas Street West L5L 3R8,"Chinese, Asian, Canadian",60.0,Oakville
7 Enoteca,CASUAL DINING,4.3,75.0,"216 Lakeshore Boulevard East, Oakville L6J 7N9","Pizza, Italian",120.0,Oakville
Wasabi Teriyaki,CASUAL DINING,4.1,71.0,"117 Cross Avenue, Oakville L6J 2W6","Japanese, Sushi, Asian",13.0,Oakville
Monastery Bakery & Delicatessen,QUICK BITES,4.7,108.0,"1133 Monastery Drive, Oakville L6M 2A3","Bakery, Deli",15.0,Oakville
K&B Sushi,CASUAL DINING,4.0,77.0,"Oakville Entertainment Centre, 2045 Winston Park Drive, Oakville L6H 6P5","Sushi, Japanese, Asian",40.0,Oakville
Pasquale's Trattoria,CASUAL DINING,4.6,72.0,"50 Lakeshore Road West, Oakville",Italian,85.0,Oakville
Celadon House,CASUAL DINING,4.4,71.0,"630 Ford Dr, Oakville L6J7V7","Chinese, Asian, Malaysian, Singaporean, Indonesian",43.0,Oakville
Paradiso,CASUAL DINING,4.1,92.0,"125 Lakeshore Road East, Oakville L6J 1H4","Italian, Canadian",75.0,Oakville
Kori's Roti,QUICK BITES,4.4,80.0,"1026 Speers Rd, Oakville L6L 2X4",Caribbean,13.0,Oakville
Agabi Grill,CASUAL DINING,4.4,77.0,"234 Kerr Street, Oakville L6K 3A8","Egyptian, Lebanese, Greek, Mediterranean",65.0,Oakville
Il Fornello,CASUAL DINING,3.9,78.0,"Abbey Centre, 203 North Service Road West, Oakville",Italian,65.0,Oakville
The Olive Press Italian Restaurant,CASUAL DINING,3.0,84.0,"2322 Dundas Street West, Oakville L6M 4J3",Italian,65.0,Oakville
Soonturn Bahn Thai,CASUAL DINING,4.0,69.0,"210 Lakeshore Road East, Oakville L6J 1H8","Thai, Asian",75.0,Oakville
Suko Thai,CASUAL DINING,4.0,60.0,"Oakville Entertainment Centre, 2055 Winston Park Drive, Oakville","Thai, Asian",50.0,Oakville
Dragon House,CASUAL DINING,3.8,64.0,"2530 6th Line, Oakville L6H 6W5","Chinese, Asian",13.0,Oakville
Cuba's Latin Restaurant,CASUAL DINING,4.0,59.0,"2444 Lakeshore Road W, Oakville L6L 1H7",Cuban,30.0,Oakville
The Crepe Kitchen,CAFÉ,3.9,63.0,"88 Dunn Street, Oakville",Cafe,35.0,Oakville
Four Brothers Pizza,QUICK BITES,3.3,74.0,"2828 Kingsway Dr, Oakville L6J6X7","Pizza, Fast Food",30.0,Oakville
Ristorante Julia,CASUAL DINING,4.2,71.0,"312 Lakeshore Road East, Oakville L6J 1J2","Latin American, Italian, Fusion",85.0,Oakville
August 8,CASUAL DINING,4.1,54.0,"280 N Service Rd W, Oakville L6M2S2","Chinese, Sushi, Dim Sum, Asian",55.0,Oakville
Mye Japanese,CASUAL DINING,4.0,56.0,"143 Church Street, Oakville L6J 1N1","Japanese, Seafood, Sushi, Asian",80.0,Oakville
Coriander Green,CASUAL DINING,4.0,49.0,"342 Church Street East, Oakville",Indian,60.0,Oakville
Colossus,CASUAL DINING,4.1,60.0,"221 Lakeshore Road East, Oakville L6J 1H7",Greek,50.0,Oakville
Cucci Ristorante,FINE DINING,4.1,61.0,"119 Jones Street, Bronte L6L 3E7",Italian,100.0,Oakville
Pho Mi 89,CASUAL DINING,3.7,61.0,"2501 Prince Michael Dr, Oakville L6H0H1","Vietnamese, Asian",13.0,Oakville
Yame Sushi,CASUAL DINING,4.0,51.0,"339 Kerr Street, Oakville","Sushi, Japanese, Asian",45.0,Oakville
Ritorno,CASUAL DINING,3.8,54.0,"261 Oak Walk Drive, Unit #8 L6H6M3",Italian,80.0,Oakville
Plank Restobar,CASUAL DINING,3.8,49.0,67 Bronte Road L6L 3B7,Tapas,40.0,Oakville
Caffe Demetre,DESSERT PARLOR,3.2,60.0,"2085 Winston Park Drive , Oakville L6H6P5","Desserts, Ice Cream, Cafe",35.0,Oakville
Adonis Mediterranean Restaurant,CASUAL DINING,4.2,44.0,"497 Pinegrove Rd, Oakville L6K 2C2","Greek, Mediterranean",80.0,Oakville
The Firehall,CASUAL DINING,3.7,54.0,"2390 Lakeshore Road West, Oakville, ON L6L 1H5, Canada",Bar Food,65.0,Oakville
Monfort,CASUAL DINING,3.9,70.0,"376 Iroquois Shore Road, Oakville",Mediterranean,55.0,Oakville
The 3 Brewers,CASUAL DINING,2.8,44.0,"Oakville Entertainment Centre, 2041 Winston Park Drive, Oakville","American, Bar Food",65.0,Oakville
Mo's Restaurant,CASUAL DINING,4.1,43.0,"467 Speers Road, Oakville","Italian, Diner, Breakfast",60.0,Oakville
Harpers Landing,CASUAL DINING,3.6,41.0,"481 Cornwall Road, Oakville L6J 7S8","Canadian, Grill",75.0,Oakville
A1 Sweets,QUICK BITES,3.9,50.0,"2345 Trafalgar Road, Oakville L6H 7K7","Indian, Desserts",20.0,Oakville
Kudo Sushi,CASUAL DINING,3.9,36.0,"738 Burloak Drive, Unit 1, Oakville","Japanese, Sushi, Asian",40.0,Oakville
Bamboo Legend,CASUAL DINING,4.0,44.0,"Fox Creek Plaza, 2501 Third Line, Oakville","Thai, Vietnamese, Asian",40.0,Oakville
Buca Di Bacco,CASUAL DINING,3.9,35.0,"130 Thomas Street, Oakville L6J 3B1",Italian,80.0,Oakville
Fiftie's Diner,CASUAL DINING,3.4,47.0,"649 Fourth Line, Unit 1&2, Oakville",American,60.0,Oakville
Sushi Hour,CASUAL DINING,3.4,44.0,"2525 Prince Michael Dr, Oakville L6H 0E9","Sushi, Japanese, Asian",80.0,Oakville
Corks,CASUAL DINING,4.1,43.0,"305 Lakeshore Road East, Oakville","Tapas, Spanish",65.0,Oakville
Ye's Sushi,CASUAL DINING,3.0,14.0,"2501 - 2525 Hampshire Gate, Unit 8A, Oakville L6H 6C8","Sushi, Japanese, Asian",45.0,Oakville
Funky Thai,CASUAL DINING,3.8,47.0,"2383 Dundas Street West, Oakville","Thai, Vietnamese, Asian",45.0,Oakville
Mika Sushi,CASUAL DINING,3.2,43.0,"575 River Glen Blvd, Ontario L6H 6X6","Japanese, Sushi, Asian",13.0,Oakville
Bombay Bhel,CASUAL DINING,3.9,40.0,"Hampshire Gate Plaza, 2525 Hampshire Gate, Oakville L6H 6C8",Indian,45.0,Oakville
Peppino's Oven,CASUAL DINING,2.8,41.0,"2015 Kingsridge Dr, Oakville","Italian, Pizza, Sandwich",45.0,Oakville
Sunset Grill,CASUAL DINING,4.0,42.0,"361 Cornwall Road, Oakville","Diner, Breakfast",30.0,Oakville
Thai Smile,CASUAL DINING,3.9,37.0,"2520 Postmaster Drive, Oakville L6M 5A8","Thai, Asian",50.0,Oakville
Sachi Sushi,CASUAL DINING,3.9,36.0,"1122 Dorval Drive, Oakville","Sushi, Japanese, Korean, Asian",35.0,Oakville
Red Chillie,CASUAL DINING,4.1,42.0,"1131 Nottinghill Gate, Oakville","Chinese, Asian",50.0,Oakville
O'Finn's Irish Temper,CASUAL DINING,3.9,39.0,"136 Church Street, Oakville","Bar Food, Irish",80.0,Oakville
Chef's Door,QUICK BITES,3.8,36.0,"Fox Creek Plaza, 2501 Third Line, Oakville","Mediterranean, Fast Food",35.0,Oakville
Lone Star Texas Grill,CASUAL DINING,3.6,41.0,"2520 Hyde Park Gate, Oakville","Tex-Mex, Bar Food",80.0,Oakville
Turtle Jack's,CASUAL DINING,3.8,39.0,"360 Dundas Street East, Oakville L6H 6Z9","Grill, Canadian",55.0,Oakville
Milestones,CASUAL DINING,3.7,37.0,"3529 Wyecroft Road, Oakville, ON L6L 0B7","Grill, Canadian",65.0,Oakville
Burrito Masters,QUICK BITES,3.6,32.0,"2335 Trafalgar Road, Unit D4, Oakville L6H 6N9",Tex-Mex,25.0,Oakville
Thai Siam,CASUAL DINING,3.9,29.0,"Upper Oakville Shopping Centre, 1011 Upper Middle Road East, Oakville","Thai, Asian",40.0,Oakville
Chop Steakhouse & Bar,CASUAL DINING,3.9,34.0,"3451 South Service Road West, Oakville L6L 0C3","Steak, Seafood",80.0,Oakville
Thai Senses Restaurant,CASUAL DINING,3.8,30.0,"2450 Lakeshore Road West, Oakville","Thai, Asian",40.0,Oakville
Niblick,BAR,3.9,41.0,"Upper Oakville Shopping Centre, 1011 Upper Middle Road East, Oakville",Bar Food,60.0,Oakville
Salad Thai,CASUAL DINING,3.9,35.0,"398 Kerr Street, Oakville L6K 3C1","Thai, Asian",35.0,Oakville
La Parisienne Creperie,CASUAL DINING,3.5,22.0,none,"French, Desserts",80.0,Oakville
English Bay Fish & Chips,CASUAL DINING,3.9,30.0,"Maple Grove Village, 511 Maple Grove Drive, Oakville, GTA","Fish and Chips, Seafood",40.0,Oakville
Seasons,CASUAL DINING,3.9,36.0,"134 Lakeshore Road East, Oakville L6J 1H4",Italian,80.0,Oakville
Machu Picchu Restaurant,CASUAL DINING,3.4,24.0,"1272 Speers Road, Oakville",Peruvian,50.0,Oakville
East Side Mario's,CASUAL DINING,3.4,26.0,"2035 Winston Park Drive, Oakville L6H 6P5","Italian, Canadian, Pizza",40.0,Oakville
The Habanero Taqueria,QUICK BITES,3.9,29.0,"1289 Marlborough Court, Unit 8, Oakville","Mexican, Fast Food",25.0,Oakville
Croissant Express,BAKERY,3.8,24.0,"325 Lakeshore Road East, Oakville","Bakery, Cafe",25.0,Oakville
Fantastico Pizza,QUICK BITES,3.9,31.0,"288 Kerr Street, Oakville","Pizza, Fast Food",25.0,Oakville
Bâton Rouge Steakhouse & Bar,CASUAL DINING,3.5,31.0,"2005 Winston Park Drive, Oakville L6H 6P5","Steak, American",100.0,Oakville
Maluca Wine Bar,CASUAL DINING,3.5,26.0,"142 Lakeshore Road East, Oakville",French,70.0,Oakville
Tavolo Pizza Pasta Wine,CASUAL DINING,2.9,30.0,1515 Rebecca Street L6L 1Z7,Italian,50.0,Oakville
The Stout Monk,CASUAL DINING,3.9,28.0,"478 Dundas Street West, Unit 1, Oakville","Bar Food, American, Italian",50.0,Oakville
John B.B.Q. Chicken,QUICK BITES,3.9,25.0,"2828 Kingsway Drive, Oakville L6J6Z2","BBQ, Portuguese",43.0,Oakville
Brown's Socialhouse,CASUAL DINING,3.3,24.0,"Hampshire Gate Plaza, 2525 Hampshire Gates, Oakville L6H 6C8",American,40.0,Oakville
Patisserie D'Or,BAKERY,3.7,17.0,"1131 Nottinghill Gate, Unit 4 L6J 1G8","Bakery, Desserts, Cafe",13.0,Oakville
Olivers Of Oakville,FINE DINING,3.8,34.0,"141 Lakeshore Road East, Oakville L6J 1H3",Canadian,130.0,Oakville
The Wingery,QUICK BITES,3.9,27.0,"1500 Sixth Line, Oakville",American,35.0,Oakville
Queen's Head,CASUAL DINING,3.8,31.0,"118 Dunn Street, Oakville L6J 3E1",Bar Food,43.0,Oakville
Maro's,QUICK BITES,3.5,22.0,"135 Kerr Street, Oakville","Mexican, Mediterranean",40.0,Oakville
Sushi NIWA,CASUAL DINING,3.8,25.0,"Upper Oakville Shopping Centre, 1011 Upper Middle Road East, Unit C23, Oakville","Japanese, Sushi, Asian",35.0,Oakville
Piazza Bistro,CASUAL DINING,3.9,24.0,"94 George Street, Oakville L6J 1H6",Italian,50.0,Oakville
B's Banh Mi,QUICK BITES,3.7,18.0,"2195 Wyecroft Road, Oakville","Vietnamese, Sandwich, Asian",20.0,Oakville
Nino Panino,CASUAL DINING,3.7,15.0,"438 Kerr Street, Oakville L6K 3C4",Italian,40.0,Oakville
Tin Cup Sports Grill,CASUAL DINING,3.9,32.0,"1540 North Service Road West, Oakville",Bar Food,60.0,Oakville
Royal Shawarma,QUICK BITES,3.6,27.0,"1540 North Service Road West, Oakville","Middle Eastern, Fast Food",30.0,Oakville
Jonathan's Restaurant and Bistro,FINE DINING,2.8,26.0,"120 Thomas Street, Oakville","Canadian, Seafood",125.0,Oakville
Wild Wing,CASUAL DINING,3.1,29.0,"Oakville Entertainment Centre, 2051 Winston Park Drive, Oakville L6H 6P5",Bar Food,50.0,Oakville
St. Louis Bar and Grill,CASUAL DINING,3.2,27.0,"2508 Hampshire Gate, Oakville L6H 6A2","Bar Food, Grill",40.0,Oakville
Yolanda's Casa,CASUAL DINING,3.6,19.0,"49 Bronte Road, Oakville L6L 6L5",Italian,70.0,Oakville
Zoup!,QUICK BITES,3.7,12.0,"2525 Hampshire Gate, Oakville L6H 6A2",Sandwich,25.0,Oakville
The King's Arms,BAR,3.8,29.0,"323 Church Street, Oakville L6J 1P1",Bar Food,43.0,Oakville
Miso Sushi & Tapas,CASUAL DINING,3.4,27.0,"221 Lakeshore Road East, Oakville","Tapas, Japanese, Asian",40.0,Oakville
Pita Nutso,QUICK BITES,3.8,30.0,"2365 Trafalgar Road, Oakville","Mediterranean, Sandwich",25.0,Oakville
