Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Zeera By The Bay,CASUAL DINING,4.2,209.0,"713 Krosno Boulevard, Unit 1, Pickering",Indian,35.0,Pickering
Hot Mama Noi's Thai On The Fly,CASUAL DINING,4.5,100.0,"1410 Bayly Street, Unit 6A, Pickering","Thai, Asian",25.0,Pickering
Port,CASUAL DINING,4.1,79.0,"1289 Wharf Street, Pickering","American, Grill",55.0,Pickering
Cielito Lindo,CASUAL DINING,4.3,74.0,"1660 Kingston Road, Pickering",Mexican,45.0,Pickering
The Big M,QUICK BITES,4.7,94.0,"711 Krosno Boulevard, Pickering",Fast Food,20.0,Pickering
Makimono,CASUAL DINING,3.8,101.0,"1790 Liverpool Road, Pickering","Sushi, Japanese, Asian",35.0,Pickering
Pig Out BBQ,QUICK BITES,4.1,85.0,"780 Kingston Road, Pickering",BBQ,30.0,Pickering
Dragon Rolls,CASUAL DINING,3.8,61.0,"1105 Kingston Road, Pickering","Sushi, Japanese, Asian",45.0,Pickering
Red House,CASUAL DINING,3.6,65.0,"Whites Road Shopping Centre, 705 Kingston Road, Unit 8, Pickering","Thai, Malaysian, Asian",30.0,Pickering
Mandarin Restaurant - Pickering,CASUAL DINING,3.5,40.0,"Brockington Plaza, 1725 Kingston Road, Pickering","Chinese, Asian, Canadian",60.0,Pickering
Jasper Fish 'N' Chips,CASUAL DINING,4.0,43.0,"1794 Liverpool Road, Unit 19, Pickering",Fish and Chips,30.0,Pickering
Spicy Dragon,CASUAL DINING,3.0,37.0,"1340 Kingston Road, Unit 3, Pickering","Hakka Chinese, Cantonese",25.0,Pickering
Affy's Premium Grill,CASUAL DINING,3.0,45.0,"2200 Brock Road, Pickering","BBQ, Burger, Steak",60.0,Pickering
Kobo,CASUAL DINING,3.9,30.0,"512 Kingston Road, Pickering","Japanese, Asian",30.0,Pickering
East Side Mario's,CASUAL DINING,3.1,24.0,"1355 Kingston Rd, Pickering, ON L1V 1B8","Italian, Canadian, Pizza",40.0,Pickering
Pho Saigon,CASUAL DINING,3.6,42.0,"1799 Liverpool Road, Pickering","Vietnamese, Asian",30.0,Pickering
That's 50's Diner,CASUAL DINING,3.5,34.0,"1660 Kingston Drive, Pickering L1V 3E2","Diner, American",25.0,Pickering
Wild Wing,CASUAL DINING,3.9,42.0,"Steeple Hill Shopping Centre, 570 Kingston Road, Pickering",Bar Food,50.0,Pickering
Sakada Sushi,CASUAL DINING,3.5,27.0,"Amberlea Shopping Centre, 1822 Whites Road, Pickering","Sushi, Japanese, Asian",30.0,Pickering
Thai Orchid,CASUAL DINING,3.9,37.0,"1450 Kingston Road, Pickering","Thai, Asian",30.0,Pickering
Lone Star Texas Grill,CASUAL DINING,3.2,38.0,"Whites Road Shopping Centre, 705 Kingston Road, Pickering","Tex-Mex, Bar Food",80.0,Pickering
Patois,QUICK BITES,3.8,25.0,"Liverpool Plaza, 1289 Kingston Road, Pickering","Jamaican, Caribbean",30.0,Pickering
Amici Trattoria,CASUAL DINING,3.5,12.0,"1305 Pickering Parkway, Pickering",Italian,,Pickering
Thai One On,CASUAL DINING,3.8,36.0,"570 Kingston Road, Pickering","Thai, Asian",45.0,Pickering
Island Mix Restaurant & Lounge,CASUAL DINING,3.7,29.0,"1050 Brock Road, Pickering",Caribbean,30.0,Pickering
Moxie's Grill & Bar,CASUAL DINING,3.1,18.0,"1815 Liverpool Road, Pickering L1V 1W2","Grill, Steak, Canadian, Fusion",65.0,Pickering
Roland's Restaurant,QUICK BITES,3.9,24.0,"2200 Brock Road, Pickering",Caribbean,30.0,Pickering
Horn Dawgs Smokin' BBQ & Catering,QUICK BITES,3.6,16.0,"1410 Bayly Street, Pickering",BBQ,30.0,Pickering
Paul Wong's,CASUAL DINING,3.6,27.0,"376 Kingston Road, Unit 8, Pickering","Chinese, Asian",40.0,Pickering
Kips Flaming Burgers,QUICK BITES,3.5,21.0,"Brockington Plaza, 1725 Kingston Road, Pickering",Burger,43.0,Pickering
I Love Roti,QUICK BITES,3.8,22.0,"Brockington Plaza, 1725 Kingston Road, Pickering",Caribbean,20.0,Pickering
Pizza Shack,QUICK BITES,3.7,20.0,"893 Bayly Street, Pickering L1W 3P6","Pizza, Fast Food",25.0,Pickering
Fat Bastard Burrito,QUICK BITES,3.7,23.0,"726 Kingston Road, Pickering","Mexican, Fast Food",25.0,Pickering
Massey's Restaurant,CASUAL DINING,3.6,25.0,"774 Liverpool Road South, Pickering","Bar Food, American",40.0,Pickering
Food Time,CASUAL DINING,3.2,22.0,"1660 Kingston Road, Pickering","Indian, Pakistani",30.0,Pickering
Roti n'Ting,QUICK BITES,3.9,17.0,"Liverpool Plaza, 1298 Kingston Road, Pickering",Caribbean,25.0,Pickering
Malt N Salt Fish & Chips,QUICK BITES,3.7,22.0,"750 Oklahoma Drive, Unit 8, Pickering",Fish and Chips,35.0,Pickering
Dragon Gem,QUICK BITES,3.9,23.0,"Amberlea Shopping Centre, 1822 Whites Road, Unit 19, Pickering","Chinese, Asian",30.0,Pickering
Milos Greek Restaurant,CASUAL DINING,2.9,24.0,"1450 Kingston Road, Pickering","Greek, Mediterranean",35.0,Pickering
The House Of Pizzeria,QUICK BITES,3.2,4.0,"2062 Liverpool Road, Pickering","Pizza, Fast Food",25.0,Pickering
Hakka Fusion,CASUAL DINING,3.1,19.0,"1670 Kingston Road, Pickering","Hakka Chinese, Asian",35.0,Pickering
Pickle Barrel,CASUAL DINING,3.2,17.0,Opening Soon,"Grill, Canadian",60.0,Pickering
Afghan Kebab & Shawarma,QUICK BITES,3.1,14.0,"734 Kingston Road, Pickering","Middle Eastern, Afghan",25.0,Pickering
Bollock's Pub & Kitchen,BAR,3.1,14.0,"734 Kingston Road, Pickering",Bar Food,50.0,Pickering
Cora's Breakfast & Lunch,CASUAL DINING,3.5,5.0,"1755 Pickering Parkway, Pickering","Diner, Canadian",35.0,Pickering
Swiss Chalet Rotisserie & Grill,CASUAL DINING,3.2,15.0,"734 Kingston Road, Pickering","Canadian, Grill, Beverages",40.0,Pickering
Jack Astor's,CASUAL DINING,3.4,13.0,"Pickering Town Centre, 1355 Kingston Road, Pickering",Bar Food,55.0,Pickering
Usmania Grill,CASUAL DINING,3.3,10.0,"1211 Kingston Road, Unit 9, Pickering L1V 6M5","Indian, Pakistani, Kebab",25.0,Pickering
Harp & Crown Pub,BAR,3.5,12.0,"300 Kingston Road, Pickering",Bar Food,60.0,Pickering
Popeyes,QUICK BITES,2.9,16.0,"Brockington Plaza, 1725 Kingston Road, Pickering",Fast Food,25.0,Pickering
Mucho Burrito,QUICK BITES,2.9,16.0,"1550 Kingston Road, Pickering",Tex-Mex,30.0,Pickering
The WORKS,CASUAL DINING,3.5,8.0,"1794 Liverpool Road, Pickering",Burger,45.0,Pickering
Pita Delites,QUICK BITES,3.0,13.0,"Brockington Plaza, 1725 Kingston Road, Pickering",Middle Eastern,43.0,Pickering
Irish Times,CASUAL DINING,2.9,9.0,"1400 Bayly Street, Pickering","Bar Food, Irish",45.0,Pickering
Boston Pizza,CASUAL DINING,2.8,15.0,1899 Brock Rd,"American, Pizza",40.0,Pickering
Baskin Robbins,DESSERT PARLOR,3.5,8.0,"1794 Liverpool Road, Pickering","Ice Cream, Desserts",15.0,Pickering
Jumbo Burger,CASUAL DINING,3.2,7.0,"512 Kingston Road, Pickering",Diner,30.0,Pickering
The Stone Corner Pub,BAR,2.7,10.0,1900 Dixie Road Pickering,Bar Food,50.0,Pickering
Sabina's Casual Dining & Pub,CASUAL DINING,3.1,10.0,"1755 Pickering Parkway, Unit 20, Pickering L1V 6K5","Bar Food, Canadian",65.0,Pickering
Big Bite Gourmet Burgers,QUICK BITES,3.4,11.0,"Amberlea Shopping Centre, 1822 Whites Road, Pickering L1V 4M1","Burger, Diner",25.0,Pickering
On The Beach,QUICK BITES,3.8,11.0,"Steeple Hill Shopping Centre, 570 Kingston Road, Pickering",Caribbean,25.0,Pickering
Gino's Famous Pizza,QUICK BITES,3.2,10.0,"750 Oklahoma Drive, Pickering","Pizza, Fast Food",25.0,Pickering
Asia Hut,QUICK BITES,3.7,9.0,"1450 Kingston Road, Unit 2, Pickering","Chinese, Caribbean",25.0,Pickering
Sun Win,QUICK BITES,3.7,10.0,"1477 Bayly Street, Pickering L1W 1H6",Chinese,25.0,Pickering
Jimmy The Greek,QUICK BITES,3.0,9.0,"Pickering Town Centre, 1355 Kingston Road, Pickering",Greek,25.0,Pickering
Herongate Barn Dinner Theatre,CASUAL DINING,3.5,4.0,"2885 Altona Rd, Pickering L0H 1J0",American,125.0,Pickering
Zeus Greek Grill Gods,QUICK BITES,2.9,7.0,"780 Kingston Road, Pickering",Greek,25.0,Pickering
Chick-N-Joy,QUICK BITES,3.4,10.0,"Whites Road Shopping Centre, 705 Kingston Road, Unit 4, Pickering",Fast Food,25.0,Pickering
Chuuk,CASUAL DINING,,,774 Liverpool Rd,Mexican,45.0,Pickering
Belaggio's Gelato,DESSERT PARLOR,3.3,6.0,"Whites Road Shopping Centre, 705 Kingston Road, Unit 16, Pickering","Fast Food, Desserts, Italian",15.0,Pickering
Taco Bell,QUICK BITES,2.8,7.0,"Pickering Town Centre, 1355 Kingston Road, Pickering","Fast Food, Mexican",20.0,Pickering
Grizzly's Bar & Grill,BAR,3.6,4.0,"985 Brock Road South, Pickering",Bar Food,35.0,Pickering
