Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Restoran Malaysia,CASUAL DINING,4.5,297.0,"815 Major Mackenzie Drive E, Unit 10, Richmond Hill L4C 9X2","Malaysian, Asian",60.0,Richmond Hill
Mi Ne Sushi,CASUAL DINING,4.4,254.0,"10815 Yonge Street, Richmond Hill","Sushi, Japanese, Asian",85.0,Richmond Hill
Dragon Boat Fusion Cuisine,CASUAL DINING,4.1,121.0,"160 East Beaver Creek Road, Suite 4-6, Richmond Hill L4B 4A7","Dim Sum, Cantonese",40.0,Richmond Hill
Tomo Sushi,CASUAL DINING,4.4,140.0,"9625 Yonge Street, Richmond Hill L4C 5T2","Sushi, Japanese, Asian",40.0,Richmond Hill
Chako,CASUAL DINING,4.2,173.0,"163 York Boulevard, Richmond Hill","Sushi, Korean, Japanese, Asian",60.0,Richmond Hill
Abruzzo Pizza,QUICK BITES,4.3,169.0,"9010 Yonge Street, Richmond Hill L4C 6Z8","Pizza, Italian",25.0,Richmond Hill
Fraticelli's,CASUAL DINING,4.0,152.0,"10 Vogell Road, Richmond Hill L4B 3K4","Italian, Grill",65.0,Richmond Hill
Touro Churrascaria,CASUAL DINING,3.9,101.0,"125 York Boulevard, Richmond Hill","Brazilian, Steak",80.0,Richmond Hill
Inatei,CASUAL DINING,4.0,92.0,"9021 Leslie Street, Richmond Hill","Japanese, Asian",35.0,Richmond Hill
Nonna's Oven,CASUAL DINING,4.2,100.0,"1285 Elgin Mills Road, Unit 8, Richmond Hill",Italian,40.0,Richmond Hill
Marlowe,CASUAL DINING,3.0,135.0,"155 York Boulevard, Unit 1, Richmond Hill","Grill, Italian",90.0,Richmond Hill
Mexican Amigos,CASUAL DINING,4.0,92.0,"10720 Yonge Street, Richmond Hill L4C 0C7",Mexican,30.0,Richmond Hill
Thai Basil,CASUAL DINING,3.9,94.0,"SmartCentres Richmond Hill, 1070 Major Mackenzie Drive East, Unit F103, Richmond Hill L4S 1P3","Thai, Asian",50.0,Richmond Hill
Northern Dumpling Kitchen,CASUAL DINING,3.9,59.0,"550 Highway 7 East, Unit 52A, Richmond Hill","Northern Chinese, Chinese, Asian",20.0,Richmond Hill
Ruelo Patisserie,DESSERT PARLOR,3.7,89.0,"Times Square, 550 Highway 7 East, Unit C73, Richmond Hill","Desserts, Cafe",25.0,Richmond Hill
The Host,CASUAL DINING,4.0,101.0,"Shoppes of The Parkway, 670 Highway 7 East, Richmond Hill L4B 3P2",Indian,60.0,Richmond Hill
Il Fornello,CASUAL DINING,3.7,91.0,"8851 Yonge Street, Richmond Hill",Italian,65.0,Richmond Hill
Citro,CASUAL DINING,4.2,64.0,"10123 Yonge Street, Richmond Hill",Italian,70.0,Richmond Hill
Joe's Hamburgers,QUICK BITES,4.4,86.0,"10825 Yonge Street, Richmond Hill","Burger, Middle Eastern",35.0,Richmond Hill
