Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Johnny's Hamburgers,QUICK BITES,4.2,469.0,"2595 Victoria Park Avenue, Scarborough M1T 1A4",Burger,15.0,Scarborough
Fishman Lobster Clubhouse,CASUAL DINING,4.0,175.0,"Silver Star, 680 Silver Star Boulevard, Scarborough M1V 4S5","Seafood, Cantonese, Chinese",140.0,Scarborough
Le Cafe Michi,CASUAL DINING,4.2,209.0,"1802 Pharmacy Avenue, Scarborough M1T 1H6","Sushi, Japanese, Asian",55.0,Scarborough
Lamanna's Bakery,BAKERY,4.7,169.0,"6758 Kingston Road, Scarborough M1B 1G8","Bakery, Italian",25.0,Scarborough
Federick Restaurant,CASUAL DINING,4.2,228.0,"1920 Ellesmere Road, Scarborough M1H 2V6","Hakka Chinese, Chinese, Asian",30.0,Scarborough
The Real McCoy,QUICK BITES,4.5,178.0,"1033 Markham Road, Scarborough M1H 2Y5","Pizza, Fast Food",25.0,Scarborough
Terry's Bar & Grill,CASUAL DINING,4.3,227.0,"1920 Ellesmere Road, Scarborough M1H 3G1","Bar Food, Sandwich, Burger",40.0,Scarborough
Diana's Oyster Bar And Grill,CASUAL DINING,4.1,119.0,"2105 Lawrence Avenue E, Scarborough M1R 2Z4",Seafood,60.0,Scarborough
Perfect Chinese Restaurant,CASUAL DINING,4.0,148.0,"4386 Sheppard Avenue East, Scarborough M1S 1T8","Dim Sum, Cantonese",25.0,Scarborough
Gourmet Malaysia,CASUAL DINING,3.8,86.0,"4466 Sheppard Avenue East, Scarborough M1S 4J9",Malaysian,30.0,Scarborough
Panagio's,CASUAL DINING,4.6,121.0,"1928 McCowan Road, Scarborough M1S 4K1","American, Mexican",35.0,Scarborough
Pho 88,CASUAL DINING,4.2,183.0,"Bamburgh Gardens Shopping Plaza, 325 Bamburgh Circle, Scarborough M1W 3Y1",Vietnamese,30.0,Scarborough
Lin Garden Restaurant,CASUAL DINING,4.2,151.0,"1806 Pharmacy Avenue, Scarborough M1T 1H6","Hakka Chinese, Indian",25.0,Scarborough
The Markham Station,CASUAL DINING,3.8,148.0,"5117 Sheppard Avenue East, Scarborough M1S 4N3","Diner, Breakfast",55.0,Scarborough
Makkal Chon,CASUAL DINING,4.3,87.0,"1979 Lawrence Avenue E, Scraborough M1R 2Z2","Korean, Asian",,Scarborough
One2Snacks,QUICK BITES,4.6,74.0,"8 Glen Watford Drive, Scarborough M1S 2C1",Malaysian,20.0,Scarborough
Saravanaa Bhavan,CASUAL DINING,4.2,92.0,"Woodside Square, First Floor, 1571 Sandhurst Circle, Unit 153, Scarborough M1V 1V2","South Indian, Indian",40.0,Scarborough
Matsuda,CASUAL DINING,4.3,116.0,"5651 Steeles Avenue E, Scarborough M1W 2B4","Sushi, Japanese, Asian",40.0,Scarborough
Fratelli Village Pizzeria,CASUAL DINING,4.3,121.0,"384 Old Kingston Road, Scarborough M1C 1B6","Pizza, Italian",65.0,Scarborough
Chako,CASUAL DINING,3.8,111.0,"2190 Mcnicoll Avenue, Scarborough M1V 5M2","Sushi, Korean, Japanese, Asian",60.0,Scarborough
Maple Yip,CASUAL DINING,4.0,60.0,"Midtown Plaza, 4227 Sheppard Avenue East, Scarborough M1S 5H5",Cantonese,30.0,Scarborough
Remezzo,CASUAL DINING,4.1,92.0,"3335 Sheppard Avenue East, Scarborough M1T 3K2",Italian,50.0,Scarborough
Vi Pei Bistro,CASUAL DINING,4.2,94.0,"2258 Kingston Road, Scarborough",European,70.0,Scarborough
Smith Bros. Steakhouse Tavern,CASUAL DINING,4.1,77.0,"880 Warden Avenue, Scarborough M1L 4W6","Steak, Grill",,Scarborough
Magic Noodle,CASUAL DINING,3.4,61.0,"2190 Mcnicoll Avenue, Scarborough M1V 5M2",Northern Chinese,20.0,Scarborough
Asian Legend,CASUAL DINING,4.2,83.0,"4452 Sheppard Avenue East, Scarborough M1S 3G9",Northern Chinese,40.0,Scarborough
Pho Metro,CASUAL DINING,4.3,75.0,"2057 Lawrence Avenue E, Scarborough M1R 2Z4","Vietnamese, Asian",30.0,Scarborough
Chris Jerk Caribbean Bistro,QUICK BITES,3.9,52.0,"Huntingwood Square, 2570 Birchmount Road, Scarborough M1T 2M5","Jamaican, Caribbean",35.0,Scarborough
Shawarma Empire,QUICK BITES,4.2,72.0,1823 Lawrence Avenue E M1R 2Y3,Middle Eastern,15.0,Scarborough
The Roti Hut,QUICK BITES,4.0,78.0,"351 Pitfield Road, Scarborough M1S 2V9",Caribbean,15.0,Scarborough
Casa Imperial,CASUAL DINING,3.6,81.0,"4125 Steeles Avenue East, Scarborough M1W 3T4","Dim Sum, Cantonese, Chinese",60.0,Scarborough
Babu Takeout and Catering,QUICK BITES,4.3,79.0,"4800 Sheppard Avenue East, Toronto","Fast Food, Indian",13.0,Scarborough
0109 Dessert & Chocolate,DESSERT PARLOR,3.5,36.0,"2190 McNicoll Avenue, Unit 109, Scarborough M1V 0B3",Desserts,25.0,Scarborough
Karaikudi Chettinad Restaurant,CASUAL DINING,3.9,76.0,"1225 Kennedy Road, Scarborough M1P 4Y1",South Indian,40.0,Scarborough
Naan & Kabob,CASUAL DINING,4.3,71.0,"1801 Lawrence Avenue E, Scarborough M1R 2X9","Middle Eastern, Afghan",,Scarborough
Hunter's,CASUAL DINING,4.0,62.0,"Huntingwood Square, 2574 Birchmount Road, Scarborough M1S 1K8","Diner, Mediterranean",35.0,Scarborough
Moxie's Grill & Bar,CASUAL DINING,3.6,82.0,"300 Borough Dr, 215, Scarborough M1P 4P5","Grill, Steak, Canadian, Fusion",65.0,Scarborough
Shamrock Burgers,QUICK BITES,4.2,63.0,"6109 Kingston Road, Scarborough M1C 1K5","Burger, Fast Food",25.0,Scarborough
T Bones,CASUAL DINING,3.3,81.0,"2540 Eglinton Avenue E, Scarborough M1K 2R5","Burger, Grill, Steak",40.0,Scarborough
Johnny's Shawarma,QUICK BITES,4.0,49.0,"1904 Kennedy Road, Scarborough M1P 2L8","Lebanese, Middle Eastern",25.0,Scarborough
Dumpling King,CASUAL DINING,3.7,49.0,"Scarborough Village Mall, 3290 Midland Avenue, Scarborough M1V 3Z9","Northern Chinese, Chinese, Asian",30.0,Scarborough
China Cottage,CASUAL DINING,3.6,71.0,"80 Ellesmere Road, Scarborough M1R 4C2",Hakka Chinese,30.0,Scarborough
Canyon Creek,CASUAL DINING,4.2,74.0,"430 Progress Avenue, Scarborough M1P 5J1",Steak,90.0,Scarborough
Korean Grill House,CASUAL DINING,3.7,64.0,"Scarborough Village Mall, 3280 Midland Avenue, Scarborough","BBQ, Korean",45.0,Scarborough
