Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Terroni,CASUAL DINING,4.0,563.0,"57A Adelaide Street East, Toronto","Italian, Pizza",65.0,St. Lawrence
Beerbistro,CASUAL DINING,4.5,510.0,"18 King Street East, Toronto M5C 1C4","Canadian, Bar Food",80.0,St. Lawrence
Le Petit Dejeuner,CASUAL DINING,4.3,343.0,"191 King Street East, Toronto M5A 1J5","Canadian, Belgian",70.0,St. Lawrence
Sukho Thai,CASUAL DINING,4.6,284.0,"52 Wellington Street East, Toronto",Thai,50.0,St. Lawrence
The Sultan's Tent & Cafe Moroc,CASUAL DINING,3.8,410.0,"49 Front Street East, Toronto","French, Moroccan",70.0,St. Lawrence
Buster's Sea Cove,CASUAL DINING,4.5,275.0,"St. Lawrence Market, 93 Front Street East, Toronto",Seafood,50.0,St. Lawrence
The Carbon Bar,CASUAL DINING,4.3,185.0,"99 Queen Street East, Toronto M5C 1S1",American,80.0,St. Lawrence
Pearl Diver,CASUAL DINING,4.4,174.0,"100 Adelaide Street East, Toronto M5C 1K9",Seafood,40.0,St. Lawrence
Golden Thai,CASUAL DINING,4.1,277.0,"105 Church Street, Toronto M5C 2G3","Thai, Asian",50.0,St. Lawrence
Bier Markt,CASUAL DINING,3.8,268.0,"58 The Esplanade, Toronto M5E 1R2","Bar Food, Canadian",70.0,St. Lawrence
The Old Spaghetti Factory,CASUAL DINING,3.7,233.0,"54 The Esplanade, Toronto M5E 1A6",Italian,50.0,St. Lawrence
The Hot House Restaurant & Bar,CASUAL DINING,4.1,260.0,"35 Church Street, Toronto M5E 1T3","European, Canadian, Italian",75.0,St. Lawrence
C'est What?,BAR,4.0,250.0,"67 Front Street East, Toronto M5E 1B5",Bar Food,75.0,St. Lawrence
Le Papillon on Front,CASUAL DINING,4.2,202.0,"69 Front Street East, Toronto M5E 1B5",French,80.0,St. Lawrence
Marché Restaurant,CASUAL DINING,4.0,194.0,"Brookfield Place, 181 Bay Street, Unit 107S, Toronto M5J 2T3",American,30.0,St. Lawrence
Oliver & Bonacini Cafe Grill,CASUAL DINING,4.0,213.0,"33 Yonge Street, Toronto, ON M5E 1G4","Grill, Italian, Canadian, Fusion",,St. Lawrence
La Bettola Di Terroni,CASUAL DINING,4.1,219.0,"106 Victoria Street, Toronto",Italian,70.0,St. Lawrence
Rosewater,FINE DINING,3.9,135.0,"19 Toronto Street, Toronto","Steak, Canadian",130.0,St. Lawrence
Dineen Coffee Co.,CAFÉ,4.0,113.0,"140 Yonge Street, Toronto M5C1X6","Cafe, Desserts",20.0,St. Lawrence
George Street Diner,CASUAL DINING,4.1,118.0,"129 George Street, Toronto M5A 2M6",Diner,30.0,St. Lawrence
