Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
The Burger's Priest,QUICK BITES,4.2,779.0,"1636, Queen St. E, Toronto",Burger,30.0,The Beaches
Green Eggplant Restaurant,CASUAL DINING,4.1,249.0,"2022 Queen Street East, Toronto M4L 1J4","Mediterranean, Sandwich, Seafood",70.0,The Beaches
Ed's Real Scoop,DESSERT PARLOR,4.6,174.0,"2224 Queen Street East, Toronto M4E 1E9","Ice Cream, Desserts",20.0,The Beaches
Udupi Palace,CASUAL DINING,4.1,141.0,"1460 Gerrard Street East, Toronto M4L 2A3",Indian,35.0,The Beaches
Hogtown Smoke,CASUAL DINING,3.5,88.0,"1959 Queen Street East, Toronto",BBQ,50.0,The Beaches
Sauvignon,CASUAL DINING,4.5,107.0,"1862 Queen Street East, Toronto","French, Seafood",80.0,The Beaches
Vi Vetha Bistro,CASUAL DINING,4.6,94.0,"2485 Queen Street East, Toronto",Italian,60.0,The Beaches
Sunset Grill,CASUAL DINING,3.8,93.0,"2006 Queen Street East, Toronto","Diner, Breakfast",30.0,The Beaches
Murphy's Law,CASUAL DINING,3.9,83.0,"1702 Queen Street East, Toronto M4L 1G6","Bar Food, Irish",50.0,The Beaches
Yumei Sushi,CASUAL DINING,4.3,68.0,"2116 Queen Street East, Toronto","Sushi, Japanese, Asian",50.0,The Beaches
Cinamon Indian Bistro,CASUAL DINING,3.9,60.0,"1966 Queen Street East, Toronto M4L 1H8",Indian,50.0,The Beaches
Zane Patisserie & Boulangerie,DESSERT PARLOR,4.2,48.0,"1842 Queen Street East, Toronto M4L 6T3",Desserts,10.0,The Beaches
The Beacher Cafe,CASUAL DINING,3.3,71.0,"2162 Queen Street East, Toronto","Canadian, Pizza",40.0,The Beaches
Veloute,CASUAL DINING,4.1,48.0,"2343 Queen Street East, Toronto","French, Grill",70.0,The Beaches
The Stone Lion,CASUAL DINING,3.1,65.0,"1958 Queen Street East, Toronto M4L 1H6","British, Burger, Seafood",65.0,The Beaches
Thai House Cuisine,CASUAL DINING,3.9,50.0,"2213 Queen Street East, Toronto","Thai, Asian",30.0,The Beaches
Aki Da,CASUAL DINING,3.6,74.0,"1911 Queen Street East, Toronto M4L 1H3",Sushi,45.0,The Beaches
Whitlock's,CASUAL DINING,3.0,72.0,"1961 Queen Street East, Toronto","Mediterranean, Canadian",40.0,The Beaches
Green Basil,CASUAL DINING,3.9,57.0,"2120 Queen Street East, Toronto M4E 1E2",Thai,40.0,The Beaches
Japango,CASUAL DINING,4.0,54.0,"2209 Queen Street East, Toronto","Sushi, Japanese, Asian",50.0,The Beaches
Garden Gate,CASUAL DINING,3.9,53.0,"2379 Queen Street East, Toronto M4E 1H5","Chinese, Canadian",25.0,The Beaches
The Beech Tree,CASUAL DINING,3.9,39.0,"924 Kingston Road, Toronto M4E 1S5",British,85.0,The Beaches
Delhi Bistro,CASUAL DINING,4.2,51.0,"2214 Queen Street East, Toronto M4E 1E9",Indian,45.0,The Beaches
Seaspray Restaurant,CASUAL DINING,4.0,44.0,"629 Kingston Road, Toronto M4E 1R3",Chinese,30.0,The Beaches
No Bull Burger,QUICK BITES,3.9,36.0,"1019 Kingston Road, Toronto M4E 3T9","Burger, Fast Food",30.0,The Beaches
Ali's Tandoori Curry House,CASUAL DINING,3.8,49.0,"2306 Queen Street East, Toronto",Indian,50.0,The Beaches
Tori's Bakeshop,BAKERY,3.6,21.0,"2188 Queen Steet East, Toronto M4E","Bakery, Cafe, Coffee and Tea, Desserts",25.0,The Beaches
Bikkuri,CASUAL DINING,3.4,44.0,"2197 Queen Street East, Toronto","Sushi, Japanese, Asian",45.0,The Beaches
Life is Sweet,DESSERT PARLOR,3.9,26.0,"2345 Queen Street East, Toronto M4E 1H2",Desserts,20.0,The Beaches
Remarkable Bean,CAFÉ,3.9,38.0,"2242 Queen Street East, Toronto M4E 1G2",Cafe,20.0,The Beaches
Cool Runnings,CASUAL DINING,3.9,28.0,"146 Main Street, Toronto M4E 2V8","Jamaican, Caribbean",30.0,The Beaches
The Green Dragon Pub,BAR,3.9,40.0,"1032 Kingston Road, Toronto M4E 1T5",Bar Food,40.0,The Beaches
Kyouka Ramen,CASUAL DINING,3.8,23.0,"2222 Queen Street East, Toronto M4E",Ramen,50.0,The Beaches
Castro's Lounge,BAR,3.9,35.0,"2116 Queen Street East, Toronto","Mexican, Fusion",50.0,The Beaches
Bam! Breakfast & Bistro,CASUAL DINING,3.8,26.0,"1970 Queen Street East, Toronto M4L 1H8","Diner, Canadian",30.0,The Beaches
Outrigger,CASUAL DINING,3.5,37.0,"2232 Queen Street East, Toronto","Italian, American",65.0,The Beaches
The Grover,CASUAL DINING,3.6,27.0,"676 Kingston Road, Toronto M4E 1R4","Bar Food, American, British",50.0,The Beaches
The Feathers,CASUAL DINING,3.9,31.0,"962 Kingston Road, Toronto M4E 1S7","British, Bar Food",40.0,The Beaches
Mars Beach Diner,CASUAL DINING,2.6,37.0,"1987 Queen Street East, Toronto M4I",Diner,35.0,The Beaches
O Sushi,CASUAL DINING,3.8,23.0,"6 Coxwell Avenue, Toronto M4L 3A7","Sushi, Japanese, Asian",40.0,The Beaches
King's Diner,CASUAL DINING,3.9,26.0,"906 Kingston Road, Toronto M4E 1S5","Diner, Canadian",30.0,The Beaches
Beachside Grill,CASUAL DINING,3.4,29.0,"1922 Queen Street East, Toronto M4L 1H5",Diner,35.0,The Beaches
Brick Street Bakery,BAKERY,3.8,28.0,"1969 Queen Street East, Toronto","Bakery, Cafe",30.0,The Beaches
Pizzaiolo,QUICK BITES,3.6,27.0,"66 Kingston Road, Toronto","Pizza, Fast Food",30.0,The Beaches
Delina Restaurant,QUICK BITES,3.8,22.0,"1891 Queen Street East, Toronto M4L 1H3",Middle Eastern,20.0,The Beaches
Beaches Bake Shop & Cafe,CAFÉ,3.7,12.0,"900 Kingston Road, Toronto M4E 1S5","Cafe, Bakery",20.0,The Beaches
Sandy's Cuisine & Cafe,QUICK BITES,3.7,20.0,"941 Kingston Road, Toronto M4E 1S8","Middle Eastern, Canadian",15.0,The Beaches
Kingston Chinese Restaurant,CASUAL DINING,3.8,24.0,"955 Kingston Road, Toronto M4E 1S8","Chinese, Asian",35.0,The Beaches
Burrito Bandidos,QUICK BITES,3.6,21.0,"1614A Queen Street East, Toronto","Fast Food, Mexican",25.0,The Beaches
Budapest Restaurant,CASUAL DINING,3.5,11.0,"1959 Gerrard Street East, Toronto M4E 2A9",Hungarian,25.0,The Beaches
Occasions Restaurant,CASUAL DINING,3.4,18.0,"30 Eastwood Road, Toronto M4L 2C3","Greek, Bar Food",45.0,The Beaches
Bagels On Fire,CAFÉ,3.5,13.0,"2248 Queen Street East, Toronto M4E 1G2",Cafe,25.0,The Beaches
Juice & Java,CAFÉ,3.8,18.0,"2102 Queen Street East, Toronto M4E 1E2",Cafe,30.0,The Beaches
Breakwall BBQ & Smokehouse,CASUAL DINING,3.7,18.0,"1910 Queen Street East, Toronto M4L 1H5","BBQ, Bar Food",60.0,The Beaches
Kingston Gourmet Boxes,QUICK BITES,3.4,14.0,"452 Kingston Road, Toronto M4L 1V3","Indian, Canadian",25.0,The Beaches
XOLA,CASUAL DINING,3.1,11.0,"2222 Queen Street East, Toronto M4E 1E9",Mexican,55.0,The Beaches
The Fill Station & Sports Bar,CASUAL DINING,3.4,18.0,"2282 Queen Street East, Toronto M4E 1G6",Bar Food,40.0,The Beaches
Gabby's,BAR,2.9,18.0,"980 Kingston Road, Toronto M4E 1S9",Bar Food,55.0,The Beaches
Madhus,CAFÉ,3.5,17.0,"982 Kingston Road, Toronto M4E 1T1",Cafe,25.0,The Beaches
