Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Messini,CASUAL DINING,4.4,609.0,"445 Danforth Avenue, Toronto M4K 1P2",Greek,40.0,The Danforth
Pizzeria Libretto,CASUAL DINING,4.3,281.0,"550 Danforth Avenue, Toronto M4K 1P8","Pizza, Italian",50.0,The Danforth
Mezes,CASUAL DINING,4.4,242.0,"456 Danforth Avenue, Toronto M4K 1P4",Greek,60.0,The Danforth
Square Boy,QUICK BITES,4.3,199.0,"875 Danforth Avenue, Toronto","Greek, Burger",20.0,The Danforth
Astoria Shish Kebob House,CASUAL DINING,4.2,239.0,"390 Danforth Avenue, Toronto M4K 1P3","Greek, Kebab",50.0,The Danforth
Allen's,CASUAL DINING,4.1,196.0,"143 Danforth Avenue, Toronto M4K 1N2","Canadian, Bar Food",55.0,The Danforth
7 Numbers,CASUAL DINING,4.1,145.0,"307 Danforth Avenue, Toronto",Italian,60.0,The Danforth
Pantheon,CASUAL DINING,4.3,132.0,"407 Danforth Avenue, Toronto M4K 1P1",Greek,70.0,The Danforth
Globe Bistro,CASUAL DINING,3.7,113.0,"124 Danforth Avenue, Toronto M4K 1N1",Canadian,90.0,The Danforth
Rodeo Brazilian Steakhouse,CASUAL DINING,4.2,125.0,"95 Danforth Avenue, Toronto","Brazilian, Steak",80.0,The Danforth
Off The Hook,CASUAL DINING,4.4,101.0,"749 Broadview Avenue, Toronto M4K 2P6",Fish and Chips,35.0,The Danforth
PAN,CASUAL DINING,4.0,109.0,"516 Danforth Avenue, Toronto M4K 1P6","Greek, Mediterranean",55.0,The Danforth
Ouzeri,CASUAL DINING,4.1,105.0,"500A Danforth Avenue, Toronto","Greek, Mediterranean",60.0,The Danforth
Tapas at Embrujo,CASUAL DINING,4.2,48.0,"97 Danforth Avenue, Toronto M4K1N2","Spanish, Tapas",50.0,The Danforth
Instant Confirmation,Other,,,Factory Girl,"Pizza, Grill, Italian",65.0,The Danforth
VON Doughnuts,DESSERT PARLOR,3.9,47.0,"713 Danforth Avenue, Toronto M4J 1L2","Desserts, Coffee and Tea",15.0,The Danforth
Casa Sushi,CASUAL DINING,4.4,66.0,"469 Danforth Avenue, Toronto M4K 1P1","Sushi, Japanese",35.0,The Danforth
Athens Pastries,CAFÉ,4.4,86.0,"509 Danforth Avenue, Toronto M4K 3E1","Cafe, Greek, Bakery",25.0,The Danforth
Christina's,CASUAL DINING,3.7,103.0,"492 Danforth Avenue, Toronto","Greek, Mediterranean",50.0,The Danforth
The Auld Spot,CASUAL DINING,4.1,83.0,"347 Danforth Avenue, Toronto",Bar Food,60.0,The Danforth
Greenwood Smokehouse BBQ,CASUAL DINING,3.5,44.0,"673 Danforth Avenue, Toronto","BBQ, Diner",50.0,The Danforth
Katsu Sushi,CASUAL DINING,3.7,89.0,"572 Danforth Avenue, Toronto","Sushi, Japanese",50.0,The Danforth
Asteria,CASUAL DINING,4.1,84.0,"292 Danforth Avenue, Toronto",Greek,35.0,The Danforth
The Only Cafe,BAR,4.0,56.0,"972 Danforth Avenue, Toronto M4J 1L9","Bar Food, Cafe",30.0,The Danforth
Burger Stomper - Gourmet Burger & Milkshake Bar,QUICK BITES,4.0,55.0,"364 Danforth Avenue, Toronto M4K 1N8","Burger, Beverages",30.0,The Danforth
The Combine Eatery,CASUAL DINING,3.9,73.0,"162 Danforth Avenue, Toronto M4K 1N1",American,65.0,The Danforth
Il Fornello,CASUAL DINING,4.0,73.0,"576 Danforth Avenue, Toronto",Italian,65.0,The Danforth
Kalyvia,CASUAL DINING,3.9,69.0,"420 Danforth Avenue, Toronto",Greek,60.0,The Danforth
Mambo Lounge,CASUAL DINING,3.7,56.0,"120 Danforth Avenue, Toronto M4K 1N1",Cuban,55.0,The Danforth
Ha Gow Dim Sum House,CASUAL DINING,3.9,38.0,"988 Danforth Avenue, Toronto M4J 1L9","Dim Sum, Chinese",30.0,The Danforth
Dolce Gelato,DESSERT PARLOR,4.0,49.0,"414 Danforth Avenue, Toronto M4K 1P3","Ice Cream, Desserts",20.0,The Danforth
Danforth Dragon,CASUAL DINING,3.9,56.0,"861 Danforth Avenue, Toronto M4J 1L8",Hakka Chinese,40.0,The Danforth
