Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Me Va Me,CASUAL DINING,4.0,458.0,"7000 Bathurst Street, Thornhill L4J 8S3",Mediterranean,35.0,Thornhill
Song Cook's Authentic Korean Restaurant,CASUAL DINING,4.3,122.0,"72 Steeles Avenue W, Unit 6, Thornhill L4J 1A1","Korean, Asian",45.0,Thornhill
Golden Star,QUICK BITES,4.3,210.0,"7123 Yonge Street, Thornhill","Burger, Fast Food",25.0,Thornhill
Duo Patisserie & Cafe,CAFÉ,4.7,51.0,"230 Commerce Valley Drive E, Thornhill L3T 7Y3","Bakery, Cafe, Desserts",20.0,Thornhill
Cho Sun Ok,CASUAL DINING,4.3,95.0,"7353 Yonge Street, Thornhill","Korean, Asian",40.0,Thornhill
Congee Queen,CASUAL DINING,4.3,144.0,"The Shops on Steeles and 404, 2930 Steeles Avenue E, Thornhill L3T 7X1","Cantonese, Chinese, Asian",40.0,Thornhill
Centre Street Deli,CASUAL DINING,4.3,127.0,"1136 Centre Street, Thornhill","Deli, Diner",30.0,Thornhill
Piggy's Restaurant,CASUAL DINING,3.8,56.0,"5 Glen Cameron Road, Thornhill","Korean, Asian",30.0,Thornhill
Gourmet Bistro,CASUAL DINING,4.0,70.0,"8707 Dufferin Street, Thornhill","American, Grill",60.0,Thornhill
Home Of Hot Taste,CASUAL DINING,3.9,62.0,"5 Glen Cameron Road, Suite 3B, Thornhill L3T 5W2","Korean, Asian",35.0,Thornhill
North Restaurant,CASUAL DINING,3.7,103.0,"100 Steeles Avenue West, Unit 27, Thornhill",Iranian,65.0,Thornhill
Donburi,CASUAL DINING,3.2,68.0,"Commerce Gate, 505 Highway 7, Thornhill","Japanese, Asian",30.0,Thornhill
Bombay Bhel,CASUAL DINING,4.1,111.0,"230 Commerce Valley Drive E, Thornhill L3T 7Y3",Indian,35.0,Thornhill
Sofra Grill,CASUAL DINING,4.0,121.0,"8707 Dufferin Street, Unit 21, Thornhill",Mediterranean,40.0,Thornhill
Symposium Cafe Restaurant & Lounge,CASUAL DINING,3.4,42.0,8187 Yonge Street L3T2C6 2C6,"Diner, Burger, Desserts",65.0,Thornhill
Paramount Fine Foods,CASUAL DINING,3.9,84.0,"7315 Yonge Street, Thornhill","Lebanese, Middle Eastern",40.0,Thornhill
Cynthia's Chinese Restaurant,CASUAL DINING,3.9,108.0,"7700 Bathurst Street, Thornhill","Chinese, Asian",40.0,Thornhill
Terra Restaurant,FINE DINING,4.0,91.0,8199 Yonge Street,"European, Canadian",125.0,Thornhill
Tapagria,CASUAL DINING,3.0,20.0,"230 Commerce Valley Drive East, Unit 2, Thornhill L3T 7Y3","Spanish, Tapas",60.0,Thornhill
The Octagon,FINE DINING,4.0,87.0,"7529 Yonge Street, Thornhill","Steak, Seafood",95.0,Thornhill
Saigon Star,CASUAL DINING,3.8,74.0,"330 Highway 7 East, Thornhill","Vietnamese, Asian",35.0,Thornhill
Ten Ren's Tea,CAFÉ,4.1,93.0,"The Galleria, 111 Times Avenue, Thornhill","Bubble Tea, Beverages, Chinese",35.0,Thornhill
Sariwon Korean BBQ Restaurant,CASUAL DINING,4.2,64.0,"7388 Yonge Street, Thornhill","BBQ, Korean, Asian",40.0,Thornhill
Minoo,CASUAL DINING,3.9,20.0,"8053 Yonge Street, Thornhill","Middle Eastern, Iranian",25.0,Thornhill
Myungdong Kalkuksu,CASUAL DINING,3.9,42.0,"8194 Bayview Avenue, Thornhill L3T 2S2","Korean, Asian",30.0,Thornhill
Ginza,CASUAL DINING,3.4,92.0,"7330 Yonge Street, Thornhill","Sushi, Japanese, Asian, Thai",30.0,Thornhill
O Mei,CASUAL DINING,3.9,43.0,"Doncrest Market Village Plaza, 420 Highway 7 East, Thornhill","Cantonese, Chinese, Asian, Dim Sum",35.0,Thornhill
Hub Sushi,CASUAL DINING,3.9,32.0,"7398 Yonge Street, Thornhill","Sushi, Japanese, Asian",40.0,Thornhill
Aji Sai,CASUAL DINING,3.7,82.0,"8206 Bayview Avenue, Thornhill L3T 2S2","Sushi, Japanese, Asian",70.0,Thornhill
Deer Garden Signatures,CASUAL DINING,3.5,39.0,"550 Highway 7 East, Unit 108-109, Thornhill","Chinese, Asian",30.0,Thornhill
Korean Grill House,CASUAL DINING,3.6,68.0,"Commerce Gate, 505 Hwy 7, Thornhill L3T 7T1","BBQ, Korean",45.0,Thornhill
Hockey Sushi,CASUAL DINING,3.1,75.0,"1102 Centre Street, Thornhill","Sushi, Japanese, Asian",35.0,Thornhill
Levetto,CASUAL DINING,3.8,57.0,"9001 Dufferin Street, Thornhill","Italian, Pizza",45.0,Thornhill
