,Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
0,Pai,CASUAL DINING,4.9,615.0,18 Duncan Street,Thai,50.0,Toronto
1,Jacob's and Co. Steakhouse,FINE DINING,4.9,316.0,12 Brant Street,Steakhousehouse,140.0,Toronto
2,Seven Lives - Tacos Y Mariscos,QUICK BITES,4.9,310.0,69 Kensington Avenue,Mexican,25.0,Toronto
3,Ravi Soups,QUICK BITES,4.9,238.0,322 Adelaide Street West,Sri Lankan,35.0,Toronto
4,Bamiyan Kabob,QUICK BITES,4.9,104.0,7760 Markham Road,Middle Eastern,35.0,Markham
5,Richmond Station,CASUAL DINING,4.8,490.0,1 Richmond Street West,Italian,80.0,Toronto
6,Memphis BBQ & Wicked Wings,CASUAL DINING,4.8,254.0,8074 Islington Avenue,BBQ,35.0,Woodbridge
7,Sanremo Bakery,BAKERY,4.8,147.0,374 Royal York Road,Bakery,30.0,Etobicoke
8,Banh Mi Boys,QUICK BITES,4.7,940.0,392 Queen Street West,American,25.0,Toronto
9,Bymark,FINE DINING,4.7,290.0,66 Wellington Street West,American,120.0,Toronto
10,Lamanna's Bakery,BAKERY,4.7,169.0,6758 Kingston Road,Bakery,25.0,Scarborough
11,Byblos,CASUAL DINING,4.7,168.0,11 Duncan Street,Mediterranean,90.0,Toronto
12,Burrito Boyz,QUICK BITES,4.7,165.0,210 Queen Street E,Mexican,25.0,Brampton
13,Zen,FINE DINING,4.7,135.0,7634 Woodbine Avenue. Markham,Japanese,300.0,Markham
14,Monastery Bakery & Delicatessen,QUICK BITES,4.7,108.0,1133 Monastery Drive,Bakery,15.0,Oakville
15,The Big M,QUICK BITES,4.7,94.0,711 Krosno Boulevard,Fast Food,20.0,Pickering
16,Tom's Dairy Freeze,DESSERT PARLOR,4.7,93.0,630 The Queensway,Desserts,20.0,Etobicoke
17,Duo Patisserie & Cafe,CAFÉ,4.7,51.0,230 Commerce Valley Drive E,Bakery,20.0,Thornhill
18,Rodney's Oyster House,CASUAL DINING,4.6,474.0,469 King Street West,Seafood,75.0,Toronto
19,Sansotei Ramen,CASUAL DINING,4.6,413.0,179 Dundas Street West,Japanese,40.0,Toronto
20,Stoney's Bread Company,CASUAL DINING,4.6,394.0,325 Kerr Street,Italian,45.0,Oakville
21,JaBistro,CASUAL DINING,4.6,285.0,222 Richmond Street West,Japanese,100.0,Toronto
