,Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,District
0,Salad King,CASUAL DINING,4.2,1260.0,340 Yonge Street,Thai,30.0,Downtown Yonge
1,Chipotle,FAST CASUAL,4.3,495.0,323 Yonge Street,American,30.0,Downtown Yonge
2,Barberian's Steakhouse And Tavern,FINE DINING,4.4,276.0,7 Elm Street,Steakhouse,160.0,Downtown Yonge
3,7 West Cafe,CAFÉ,4.3,299.0,7 Charles Street West,Cafe,45.0,Downtown Yonge
4,The 3 Brewers,CASUAL DINING,4.1,313.0,275 Yonge Street,American,65.0,Downtown Yonge
5,JOEY Eaton Centre,CASUAL DINING,4.5,264.0,1 Dundas Street W,Steakhouse,70.0,Downtown Yonge
6,The Queen And Beaver Public House,CASUAL DINING,4.3,227.0,35 Elm Street,British,70.0,Downtown Yonge
7,Banh Mi Boys,QUICK BITES,4.6,202.0,399 Yonge Street,American,25.0,Downtown Yonge
8,Paramount Fine Foods,CASUAL DINING,4.0,224.0,253 Yonge Street,Lebanese,40.0,Downtown Yonge
9,Scaddabush,CASUAL DINING,4.4,162.0,382 Yonge Street,Italian,60.0,Downtown Yonge
10,Crown Princess Fine Dining,CASUAL DINING,4.1,137.0,1033 Bay Street,Chinese,80.0,Downtown Yonge
11,Okonomi House,CASUAL DINING,4.4,133.0,23 Charles Street West,Japanese,30.0,Downtown Yonge
12,Ethiopian House,CASUAL DINING,4.3,181.0,4 Irwin Avenue,African,35.0,Downtown Yonge
13,Jack Astor's,CASUAL DINING,3.7,181.0,10 Dundas East,Bar Food,55.0,Downtown Yonge
14,Pickle Barrel,CASUAL DINING,2.8,168.0,312 Yonge Street,BBQ,60.0,Downtown Yonge
15,Wow Sushi,CASUAL DINING,4.1,101.0,11 Charles Street West,Japanese,40.0,Downtown Yonge
16,Elm Tree Restaurant,CASUAL DINING,4.2,59.0,43 Elm Street,Mediterranean,60.0,Downtown Yonge
17,Trattoria Mercatto,CASUAL DINING,3.7,120.0,220 Yonge Street,Italian,70.0,Downtown Yonge
18,Spring Rolls,CASUAL DINING,3.4,148.0,40 Dundas Street West,Asian,50.0,Downtown Yonge
19,Bangkok Garden,CASUAL DINING,3.5,111.0,18 Elm Street,Thai,50.0,Downtown Yonge
20,Buffet Palace,CASUAL DINING,3.3,83.0,361 Yonge Street,Indian,40.0,Downtown Yonge
21,Sansotei Ramen,CASUAL DINING,3.9,71.0,650 Yonge Street,Japanese,40.0,Downtown Yonge
22,Red Lobster,CASUAL DINING,3.8,133.0,20 Dundas Street West,Seafood,60.0,Downtown Yonge
23,Koyoi,BAR,4.1,60.0,2 Irwin Avenue,Japanese,70.0,Downtown Yonge
24,Fran's,CASUAL DINING,3.7,236.0,20 College Street,BBQ,40.0,Downtown Yonge
25,Adega,CASUAL DINING,4.4,96.0,33 Elm Street,Portuguese,100.0,Downtown Yonge
26,Eggspectation Restaurant-Café,CASUAL DINING,3.8,54.0,20 Albert Street,Diner,40.0,Downtown Yonge
27,Brownstone Bistro,CASUAL DINING,3.8,118.0,601 Yonge Street,Italian,75.0,Downtown Yonge
28,Chatime,BEVERAGE SHOP,4.4,130.0,132 Dundas Street West,Bubble Cafe,15.0,Downtown Yonge
29,TLP Sandwich Co.,QUICK BITES,4.0,43.0,15 Elm Street,Fast Food,20.0,Downtown Yonge
30,Donatello,CASUAL DINING,4.1,79.0,37 Elm Street,Italian,80.0,Downtown Yonge
31,Wanda's Belgian Waffles,CAFÉ,3.2,88.0,361 Yonge Street,Cafe,30.0,Downtown Yonge
32,Duke's Refresher + Bar,BAR,3.8,63.0,382 Yonge Street,Bar Food,60.0,Downtown Yonge
33,Como En Casa,QUICK BITES,4.0,65.0,565 Yonge Street,Mexican,30.0,Downtown Yonge
34,Asian Bowl,CASUAL DINING,3.6,80.0,271 Yonge Street,Vietnamese,35.0,Downtown Yonge
35,Urban Herbivore,QUICK BITES,3.7,59.0,220 Yonge Street,Healthy Food,30.0,Downtown Yonge
36,Cora's Breakfast & Lunch,CASUAL DINING,3.8,75.0,27 Carlton Street,Diner,35.0,Downtown Yonge
37,Ginger,QUICK BITES,3.9,87.0,695 Yonge Street,Vietnamese,25.0,Downtown Yonge
38,Kimchi Korea House,CASUAL DINING,3.8,60.0,149 Dundas Street West,Korean,45.0,Downtown Yonge
39,Tokyo Grill,CASUAL DINING,4.0,75.0,582 Yonge Street,Japanese,40.0,Downtown Yonge
40,Jackson's Burger,QUICK BITES,3.8,57.0,38 Elm St,American,25.0,Downtown Yonge
41,Coach House,CASUAL DINING,4.1,63.0,574 Yonge Street,Diner,30.0,Downtown Yonge
42,The Captain’s Boil,CASUAL DINING,3.2,32.0,476 Yonge Street,American,60.0,Downtown Yonge
43,Tokyo Sushi,CASUAL DINING,4.0,60.0,33 Saint Joseph Street,Japanese,70.0,Downtown Yonge
