Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Marcello's Pizzeria,CASUAL DINING,4.5,260.0,"Vaughan Mills Plaza, 3175 Rutherford Road, Unit 18-20, Vaughan L4K 5Y6","Pizza, Italian",65.0,Vaughan
La Taquizza,CASUAL DINING,4.4,161.0,"Vaughan Mills Plaza, 3175 Rutherford Road, Unit 28, Vaughan L4K 5Y6",Mexican,40.0,Vaughan
Aragvi,CASUAL DINING,4.5,106.0,"2006 Highway 7, Vaughan",Georgian,45.0,Vaughan
Farro,CASUAL DINING,4.4,124.0,"2316 Major Mackenzie Drive, Vaughan",Italian,80.0,Vaughan
Thai Bamboo Restaurant,CASUAL DINING,4.3,102.0,"2150 Steeles Avenue W, Unit 20C, Vaughan L4K 2Y7","Thai, Asian",30.0,Vaughan
Grazie Ristorante,CASUAL DINING,3.9,115.0,"9100 Jane Street, Unit 68-69, Vaughan",Italian,60.0,Vaughan
Max's Of Manila,CASUAL DINING,3.1,85.0,"1520 Steeles Avenue W, Vaughan L4K 3B9","Filipino, Asian",30.0,Vaughan
168 Sushi Asian Buffet,CASUAL DINING,4.1,99.0,"1520 Steeles Avenue West, Unit 103, Vaughan","Sushi, Japanese, Asian",35.0,Vaughan
Dave & Busters,CASUAL DINING,2.5,93.0,"120 Interchange Way, Vaughan",American,50.0,Vaughan
Lucky Bamboo,CASUAL DINING,4.3,83.0,"Vaughan Mills Plaza, 3175 Rutherford Road, Unit 34, Vaughan","Vietnamese, Asian",35.0,Vaughan
Szechuan Szechuan,CASUAL DINING,4.1,89.0,"Vaughan Mills Mall, 1 Bass Pro Mills Drive, Vaughan L4K 5W4","Chinese, Japanese, Thai, Asian",50.0,Vaughan
Sofra Istanbul,CASUAL DINING,4.2,67.0,"3330 Steeles Avenue West, Vaughan",Mediterranean,40.0,Vaughan
The Keg,CASUAL DINING,4.4,89.0,"3300 Rutherford Road, Vaughan",Steak,100.0,Vaughan
Anna Maria Trattoria,CASUAL DINING,4.3,64.0,"2900 Langstaff Road, Vaughan",Italian,40.0,Vaughan
AllStar Wings & Ribs,CASUAL DINING,4.0,82.0,"3130 Rutherford Road, Vaughan","Bar Food, American",50.0,Vaughan
Yang's Teppanyaki & Sushi,CASUAL DINING,3.8,79.0,"3255 Rutherford Road, Unit 15-18, Vaughan","Japanese, Sushi, Asian",40.0,Vaughan
Vinnie Zucchini's,CASUAL DINING,3.2,69.0,"9100 Jane Street, Vaughan",Italian,60.0,Vaughan
Bâton Rouge Steakhouse & Bar,CASUAL DINING,3.8,86.0,7520 Weston Road Vaughan L4L 9L9,"Steak, American",100.0,Vaughan
Antonino's,CASUAL DINING,4.4,58.0,"1801 Rutherford Road, Vaughan","Pizza, Italian",40.0,Vaughan
