Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Memphis BBQ & Wicked Wings,CASUAL DINING,4.8,254.0,"8074 Islington Avenue, Vaughan","BBQ, American",35.0,Woodbridge
Spoon & Fork,CASUAL DINING,3.7,164.0,"11 Colossus Drive, Vaughan","Japanese, Thai, Asian",65.0,Woodbridge
Desserts Plus,CASUAL DINING,4.1,165.0,"8611 Weston Road, Vaughan",Italian,60.0,Woodbridge
Ricci's,CASUAL DINING,4.2,112.0,"8401 Weston Road, Unit 19, Woodbridge L4L 1A6","Pizza, Italian",30.0,Woodbridge
Earls,CASUAL DINING,4.1,112.0,"RioCan Colossus Centre, 40 Colossus Drive, Vaughan",Grill,100.0,Woodbridge
Akita Sushi,CASUAL DINING,3.8,112.0,"5451 Highway 7, Vaughan","Sushi, Japanese, Asian",50.0,Woodbridge
Indian Hero,CASUAL DINING,3.9,93.0,"8920 Highway 50, Woodbridge","Indian, Afghan",40.0,Woodbridge
Ciao Roma,CASUAL DINING,4.3,59.0,"28 Roytec Road, Unit 12A, Vaughan","Pizza, Italian",35.0,Woodbridge
Kyoto Sushi Bar,CASUAL DINING,4.0,68.0,"3883 Rutherford Road, Vaughan L4L 9R8","Sushi, Japanese, Asian",35.0,Woodbridge
Castello Ristorante,CASUAL DINING,3.7,64.0,"3600 Langstaff Road, #12",Italian,50.0,Woodbridge
Kookoo's Kitchen,QUICK BITES,3.6,54.0,"Rutherford Shopping Centre, 5100 Rutherford Road, Vaughan L4H 2J2","Fish and Chips, Grill",25.0,Woodbridge
Five Guys,QUICK BITES,3.7,84.0,"Woodbridge Square, 7600 Weston Road, Vaughan","Fast Food, Burger",25.0,Woodbridge
That's Italian Ristorante,CASUAL DINING,4.1,60.0,"2 Tall Grass Trail, Unit 4-5, Vaughan L4L 3Y9",Italian,112.0,Woodbridge
Ice Cream Patio,CASUAL DINING,3.5,61.0,"5451 Highway 7, Vaughan",Italian,50.0,Woodbridge
The Burger's Priest,QUICK BITES,3.6,47.0,"Vaughan 400/7 Power Centre, 7887 Weston Road, Vaughan",Burger,30.0,Woodbridge
Moxie's Grill & Bar,CASUAL DINING,4.1,71.0,"30 Colossus Drive, Unit B, Vaughan L4L 0B7","Grill, Steak, Canadian, Fusion",65.0,Woodbridge
Zizi Trattoria,CASUAL DINING,4.1,57.0,"9311 Weston Road, Woodbridge, ON, L4H 3G8",Italian,55.0,Woodbridge
Ginza,CASUAL DINING,4.1,62.0,"8401 Weston Road, Unit 3-4, Vaughan","Sushi, Japanese, Asian, Thai",30.0,Woodbridge
Sapore By Zafferano,CASUAL DINING,4.0,66.0,"8000 Highway 27, Vaughan",Italian,65.0,Woodbridge
Koganei Japanese Seafood Restaurant,CASUAL DINING,4.0,57.0,3901 Hwy 7 West #103,"Sushi, Japanese, Asian",40.0,Woodbridge
Holy Chuck Burgers,CASUAL DINING,3.8,42.0,"4421 Highway 7, Vaughan",Burger,30.0,Woodbridge
Mastroroberto Trattoria & Pizzeria,CASUAL DINING,4.1,59.0,"Vaughan 400/7 Power Centre, 7887 Weston Road, Unit 8, Vaughan",Italian,80.0,Woodbridge
Sake Sushi,CASUAL DINING,3.9,44.0,"5875 Highway 7, Vaughan","Sushi, Japanese, Asian",50.0,Woodbridge
Zafferano Ristorante,CASUAL DINING,4.1,56.0,"8633 Weston Road, Vaughan",Italian,50.0,Woodbridge
Basilico Ristorante,CASUAL DINING,4.2,59.0,"Rutherford Shopping Centre, 5100 Rutherford Road, Unit 4-5, Vaughan",Italian,60.0,Woodbridge
