Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Grazie Ristorante,CASUAL DINING,4.2,694.0,"2373 Yonge Street, Toronto M4P 2C8",Italian,60.0,Yonge & Eglinton
Tabule,CASUAL DINING,4.2,233.0,"2009 Yonge Street, Toronto M4S 1Z8",Middle Eastern,55.0,Yonge & Eglinton
Burger Shack,QUICK BITES,4.3,240.0,"233 Eglinton Avenue West, Toronto M4R 1A9","Burger, Fast Food",30.0,Yonge & Eglinton
Little Sister,CASUAL DINING,3.8,116.0,"2031 Yonge Street, Toronto M4S 2A2",Indonesian,55.0,Yonge & Eglinton
La Vecchia,CASUAL DINING,4.2,155.0,"2405 Yonge Street, Toronto M4P 2E7",Italian,80.0,Yonge & Eglinton
Uncle Betty's,CASUAL DINING,3.3,115.0,"2590 Yonge Street, Toronto M4P 2J3","Bar Food, Diner, Ice Cream",35.0,Yonge & Eglinton
Five Doors North,CASUAL DINING,4.4,115.0,"2088 Yonge Street, Toronto M4S 2A3",Italian,90.0,Yonge & Eglinton
The Keg Steakhouse + Bar - Yonge + Eglinton,CASUAL DINING,3.8,81.0,"2201 Yonge Street, Toronto, ON, M4S 2B2",Steak,100.0,Yonge & Eglinton
Mariachi's,CASUAL DINING,3.9,106.0,"2084 Yonge Street, Toronto M4S 2A4",Mexican,60.0,Yonge & Eglinton
Zucca,CASUAL DINING,3.9,86.0,"2150 Yonge Street, Toronto M4S 2A7",Italian,85.0,Yonge & Eglinton
Balsamico,CASUAL DINING,4.0,66.0,"2029 Yonge Street, Toronto M4S 2A2",Italian,60.0,Yonge & Eglinton
Banjara Indian House,CASUAL DINING,3.8,86.0,"164 Eglinton Avenue East, Toronto M4P 2K5",Indian,45.0,Yonge & Eglinton
Churrasco Villa,CASUAL DINING,4.3,84.0,"254 Eglinton Avenue East, Toronto M4P 1K2",Portuguese,70.0,Yonge & Eglinton
Amore Trattoria,CASUAL DINING,3.4,68.0,"2425 Yonge Street, Toronto M4P 2E7",Italian,70.0,Yonge & Eglinton
Echo Sushi,CASUAL DINING,4.2,77.0,"2036 Yonge Street, Toronto M4S 1Z9","Sushi, Japanese, Asian",45.0,Yonge & Eglinton
Touhenboku Ramen,CASUAL DINING,3.0,57.0,"2459 Yonge Street, Toronto M4P 2H6","Ramen, Japanese",40.0,Yonge & Eglinton
HoSu Bistro,CASUAL DINING,3.6,76.0,"2352 Yonge Street, Toronto M4P 2E6","Sushi, Japanese, Korean",30.0,Yonge & Eglinton
Pickle Barrel,CASUAL DINING,2.8,89.0,"RioCan Yonge Eglinton Centre, 2300 Yonge Street, Toronto","Grill, Canadian",60.0,Yonge & Eglinton
Fresh,FAST CASUAL,3.6,65.0,"90 Eglinton Avenue E, Toronto M4P 1A6","Healthy Food, Juices",40.0,Yonge & Eglinton
