Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
New Orleans Seafood & Steakhouse,CASUAL DINING,4.4,112.0,"267 Scarlett Road, Toronto","Seafood, Steak, Cajun",100.0,York
Paisano's Italian Garden Cafe,CASUAL DINING,4.1,117.0,Willowdale Avenue. M3B 1Y6,Italian,50.0,York
Los Arrieros,CASUAL DINING,4.1,61.0,"276 Jane Street, Toronto",Latin American,40.0,York
Thai Shan Inn,CASUAL DINING,3.7,47.0,"2404 Dufferin Street, Toronto","Thai, Asian",40.0,York
Bryden's,BAR,3.7,72.0,"2455 Bloor Street West, Toronto M6S 1P7",Bar Food,60.0,York
Rebozos,QUICK BITES,3.5,34.0,"126 Rogers Road, Toronto M6E 4B4",Mexican,25.0,York
Churrasqueira Martin's,CASUAL DINING,4.0,43.0,"605 Rogers Road, Toronto","Portuguese, Grill",60.0,York
Asa Sushi,CASUAL DINING,3.7,53.0,"18 Jane Street, Toronto M6S 3Y2","Sushi, Japanese, Asian",35.0,York
Randy's,QUICK BITES,3.9,32.0,"1569 Eglinton Avenue West, Toronto M6E 2G9","Jamaican, Caribbean",25.0,York
California Sandwiches,QUICK BITES,3.6,53.0,"2474 Dufferin Street, York",Sandwich,20.0,York
Babos Donerpoint,CASUAL DINING,3.8,35.0,"2216 Eglinton Avenue West, Toronto","Middle Eastern, Turkish",40.0,York
Dark Horse,BAR,2.7,50.0,"2401 Bloor Street West, Toronto M6S 1P7",Bar Food,45.0,York
Bairrada Churrasqueira,CASUAL DINING,3.9,39.0,"2293 St. Clair Avenue West, Toronto M6H 1A7","Portuguese, European",60.0,York
Rap's,CASUAL DINING,3.0,27.0,"1541 Eglinton Avenue West, Toronto M6E 2G7","Jamaican, Caribbean",30.0,York
Jolly II,CASUAL DINING,3.5,27.0,"2625 Weston Road, Toronto",Italian,30.0,York
W Burger Bar,CASUAL DINING,3.5,16.0,"682 Caledonia Road, Toronto",Burger,30.0,York
Wakame Sushi,CASUAL DINING,3.1,21.0,"2625 Weston Road, Toronto","Sushi, Japanese, Asian",50.0,York
St. Matthew's,CASUAL DINING,3.9,14.0,"527 Rogers Road, Toronto","Portuguese, BBQ",25.0,York
P & M Restaurant,CASUAL DINING,3.8,21.0,"1946 Weston Road, Toronto",Greek,30.0,York
Campo,CASUAL DINING,3.8,15.0,"244 Jane Street, Toronto M6S 3Z1","Italian, Spanish",80.0,York
Golden Crisp Fish and Chips,CASUAL DINING,3.5,18.0,"1354 Weston Road, Toronto","Seafood, British, Fish and Chips",25.0,York
Papino's Pizza,QUICK BITES,3.9,15.0,"1788 Jane Street, Toronto M9N",Pizza,20.0,York
