Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Sabai Sabai,CASUAL DINING,4.5,237.0,"81 Bloor Street E, Toronto M4W 1A9","Thai, Asian, Tapas",50.0,Yorkville
Sassafraz,CASUAL DINING,4.2,300.0,"100 Cumberland Street, Toronto M5S 2W7","Canadian, French",90.0,Yorkville
Trattoria Nervosa,CASUAL DINING,4.4,278.0,"75 Yorkville Avenue, Toronto M5R 1B8",Italian,70.0,Yorkville
Café Boulud,FINE DINING,4.1,142.0,"Four Seasons Hotel Toronto, 60 Yorkville Avenue M4W 0A4",French,140.0,Yorkville
Buca Osteria & Bar,CASUAL DINING,4.2,77.0,"53 Scollard Street, Toronto M5R 0A1","Italian, Seafood",90.0,Yorkville
Yamato,CASUAL DINING,4.4,185.0,"24 Bellair Street, Toronto M5R 2C7","Japanese, Asian",100.0,Yorkville
Joso's,FINE DINING,4.3,107.0,"202 Davenport Road, Toronto M5R 1J2","Mediterranean, Seafood",100.0,Yorkville
Hemingway Bar & Restaurant,BAR,3.4,169.0,"142 Cumberland Street, Toronto M5R 1A8","Bar Food, Grill",70.0,Yorkville
Sushi Inn,CASUAL DINING,3.9,172.0,"120 Cumberland Street, Toronto M5R 1A6","Sushi, Japanese",30.0,Yorkville
Dimmi,CASUAL DINING,4.1,126.0,"140 Cumberland Street, Toronto M5R 1A8","Italian, Pizza",70.0,Yorkville
Kothur Indian Cuisine,CASUAL DINING,3.9,117.0,"649 Yonge Street, Toronto M4Y 1Z9",Indian,50.0,Yorkville
Jacques Bistro Du Parc,CASUAL DINING,4.4,75.0,"126A Cumberland Street, Toronto M5R 1A6",French,70.0,Yorkville
Lee Chen,CASUAL DINING,4.0,86.0,"832 Yonge Street, Toronto M4W 2H1","Taiwanese, Chinese, Asian",35.0,Yorkville
Courtyard Cafe - Windsor Arms,FINE DINING,3.7,75.0,"Windsor Arms, 18 St. Thomas Street, Toronto M5S 3E7",Canadian,110.0,Yorkville
Museum Tavern,CASUAL DINING,3.9,84.0,"208 Bloor Street West, Second Floor, Toronto","Bar Food, American",70.0,Yorkville
Carole's Cheesecake Cafe,CAFÉ,4.0,69.0,"114 Cumberland Street, Toronto M5R 3V5","Cafe, Bakery, Sandwich",25.0,Yorkville
Blu Ristorante,CASUAL DINING,4.2,82.0,17A Yorkville Avenue M4W 1L1,Italian,90.0,Yorkville
Kasa Moto,CASUAL DINING,3.2,34.0,"115 Yorkville Avenue, Toronto M5R 1C1","Sushi, Japanese",110.0,Yorkville
Utsav,CASUAL DINING,4.2,84.0,"69 Yorkville Avenue, Toronto M5R 1B6",Indian,45.0,Yorkville
Summer's,DESSERT PARLOR,4.3,77.0,"101 Yorkville Avenue, Toronto M5R 1C1","Ice Cream, Desserts",20.0,Yorkville
Ici Bistro - Windsor Arms,CASUAL DINING,4.0,45.0,"Windsor Arms, 18 St. Thomas Street, Toronto M5S2C1",French,100.0,Yorkville
